Pos,Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Pos
USA,7200,Alexander Meller,Lauren Schoene,SSA,1,1,1,3,6,1
USA,7606,Brendan Connell,Brendan Heussler,,2,2,2,6,12,2
USA,9003,Jesse Falsone,Danger Man,SSA,4,3,3,2,12,3
USA,7359,Catherine Brady,Christopher Brady,SSA,6,5,5,1,17,4
USA,7197,Tom Sitzmann,,SSA,3,7,4,4,18,5
USA,8883,Stergios Papadakis,,SSA,7,6,6,5,24,6
USA,8829,Bryan Richardson,,SSA,5,4,7,10/DNC,26,7
USA,8722,David Waiting,David Neal,SSA,9,8,8,7,32,8
USA,8244,Paul Andron,Gretchen Esbensen,SSA,8,9,9,8,34,9
