Nation,Boat NO,Helm,Crew,Club,Race 1,Points,Place
FRA,4808,Loday,Fedorenko,C.N.B.P.,,5.7,1
FRA,4702,Danielou,Chouraki,S.R. LAON,,14,2
FRA,4571,Levesque,Guezou,S.N. OUEST,,46.4,3
FRA,4815,Blanchard,Blanchard,A.C.A LORRAINE,,50,4
FRA,4639,Buffet,Moreau-Defarges,C.V. PARIS,,55.7,5
FRA,4323,Moret,Morch,C.V. LYON,,61,6
FRA,4915,Fischer,Robin,C.V.P.,,69.4,7
FRA,4701,Sadoc,Hamon,A.R. CHOLET,,70.7,8
FRA,4122,Guillaume,Gravier,C.V. PARIS,,76.7,9
FRA,4632,Reynier,Dury,C.N. BENDOR,,78,10
FRA,4700,Fountaine,Fountaine,Y.C. BRIE,,85,11
FRA,4325,Oeuvrard,Rouger,Y.C. CARNAC,,88.7,12
FRA,4881,Nessler,Nesseler,C.V. EPINAL,,90.7,13
FRA,4217,Le Troquer,Domorowsky,Y.C. PTE ROUGE,,92,14
FRA,4644,Nicolas,Aubaro,C.V. TOURAINE,,95,15
FRA,4404,Boyer,Bisson,Y.C. DRAVEIL,,97.7,16
FRA,4611,Cheret,Drubay,S.S. ROCHELAISE,,109,17
FRA,4680,Callamand,Legre,Y.C. PTE ROUGE,,112,18
FRA,4904,Breteche,Le Souaeer,S.N. OUEST,,113.7,19
FRA,4440,Leger-Izquierdo,Leibovitch,Coli PARIS,,116,20
FRA,4459,Claudel,Claudel,Y.C. CANNES,,118,21
FRA,4624,Marque,Lanaverre,C.V. BORDEAUX,,129,22
FRA,4420,Lange-Berteau,Poignant,C.V. TOURAINE,,137,23
FRA,3637,Vitelli,Menard,C.T.R.,,141,24
FRA,4453,Fenouil,Perron,C.V. VIRY CHATILI,,145,25
FRA,4302,Gaillard,Peyramond,C.V.L.,,147,26
FRA,4913,Boilloty,le Roux,S.N.I.N.,,156,27
FRA,4621,Juaneda,Solatges,Y.C.P.R.,,166,28
FRA,2835,Doerenbecher,Doerenbecher,T.C.F. 3 FTIERES,,167,29
FRA,7799,Pillon,Pillon,C.V. CENTRE,,168,30
FRA,4200,Le Poivre,Le Poivre,S.R. TOULON,,169,31
FRA,4800,Mesmin,Tande,S.R. ROCHELAISE,,176,32
FRA,4479,Le Gloahec,Leopold-Leger,C.V.P.,,189,33
FRA,4175,Chovelon,Maurel,A.S. SERRE,,189,34
FRA,4228,Vinches,Paddvani,Y.C.• DRAVEIL,,190,35
FRA,4603,Thobie,Ricci,C.N. GAULE,,190,36
FRA,4666,Blanchard,Le Brun,C.V. PARIS,,193,37
FRA,4399,Duhau,Forestier,C.V. PARIS,,200,38
FRA,2723,Jagourd,Dardel,Y.C. BASQUE,,212,39
FRA,3153,Galet,Galet,MEUAX,,212,40
FRA,2821,Dardeau,Dardeau,S.R. ST GEORGES,,213,41
FRA,4664,Boudier,Boudier,C.V.P.,,215,42
FRA,3189,Raguet,Herriret,Y.C. DIAUDIGNY,,217,43
FRA,2*,Mas,Mas,C.V. ARCACHON,,221,44
FRA,4500,Habrard,Brunel,C.V. VALENCE,,228,45
FRA,4373,Hue,Algereau,S.M. HAVRE,,228,46
FRA,4850,Galleano,Singeot,V.G.A.,,230,47
FRA,3184,Compte,Perrin,Y•C. PECQ,,230,48
FRA,4004,Heitz,Wantz,C.Y.V.G.L.,,236,49
FRA,3569,Bongiorno,Schases,C•N. ST RAPHAEE,,256,50
