Nation,Boat,Helm,Crew,Club,Race 1,Boat name,Points,Place
GBR,0,Larry Marks,Victor Deschamps,,,,,1
IRL,0,Cudmore,Bruen,,,,,2
ARG,0,Domato,Sidmann,,,,,3
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
GBR,,Derek Farrant,Mike Fountain,,,"1st 'Miss VII' (Derek Farrant and Mike Fountain, GB) 11 points.",11,1
DEN,,Jan Eppers,Per Gotfredsen,,,Moustache,20.4,2
SWE,,Christer Bath,Pelle Bath,,,Kalabalik,30.4,3
IRL,,Harold Cudmore,Chris Bruen,,,Overdrawn,41.7,4
GBR,,Paul Deschamps,Victor Deschamps,,,Phantom,43.1,5
GBR,,Hugh Bourn,Mike Bryant,,,Samuel Esquire,44,6
FRA,,Yves Pajot,Marc Pajot,,,Leopard,49,7
FRA,,Jean Roumaillac,Christian Brodard,,,Djinn,53,8
FRA,,Pierre Poullain,Daniel Nottet,,,Viking,61.7,9
