,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Punkte,Pl.
GER,8671,Joachim Hellmich,Christian Paschen,WYD,2,2,2,6,1
GER,8619,Jens Findel,Johannes Tellen,KYC,1,6,1,8,2
GER,8769,Stefan Böhm,Gerald Roos,SCV,3,1,5,9,3
GER,8570,Till Supan,Marius Knippscheer,ETUF,4,5,3,12,4
GER,8772,Ronald Roos,Kirsten Roos,SVWu,9,3,6,18,5
GER,8746,Diethardt Freye,Michael Klügel,BSV,5,8,8,21,6
GER,8424,Peter Gerdts,Karsten Lahrs,HSC,11,4,9,24,7
GER,8414,Stefan Worm,Mathias Kaiser,RYC,6,7,11,24,8
GER,8632,Christian Kellner,Klaus Stammerjohann,HSC,7,DNC,4,28,9
GER,8522,Klaus Hönemann,Heiko Behrens,SVOH,8,13,7,28,10
GER,8441,Rainer Gerdes,Christian Müllejans,SSCK,13,9,10,32,11
GER,7893,Sven Hollenbeck,Björn Hollenbeck,WYCD,10,11,12,33,12
GER,8108,Thorge Holm,Nils Holm,BCN,14,10,13,37,13
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,12,12,14,38,14
GER,8187,Barbara Jesse,Heino Sahling,SGB,15,DNC,DNC,49,15
GER,8281,Reiner Gold,Hartwig Witte,DKSC,16,DNC,DNC,50,16
