Country,Sail No.,Helm,Crew,Club,R1,R2,R3,R4,R5,T,N,Place
GBR,8481,Jeremy Robinson,Bill Masterman,,1,2,4,1,9,,,1
GBR,8677,Ian Pinnell,Nick Powell,,13,1,3,3,2,,,2
GER,8670,Wolfgang Hunger,Holger Jess,PYC,2,5,6,4,1,,,3
DEN,8620,Jan Saugmann,Morten Ramsbaek,,10,9,1,2,12,,,4
USA,7771,Howard Hamlin,Mike Martin,,5,4,11,5,4,,,5
GER,8623,Stefan Böhm,Gerald Roos,SCV,26,8,2,6,7,,,6
DEN,8622,Tom Bojland,Friis Anders,,3,12,8,8,6,,,7
GER,8575,Tom Gosch,Rolf Meyer,ENSFV,9,7,5,DSQ,13,,,8
GER,8471,Jens Schlomka,Klaus Stammerjohann,TSVS,22,6,9,7,17,,,9
GER,8570,Hans-Heinrich Rix,Steffen Achenbach,RSVW,6,23,7,11,18,,,10
GER,8657,Martin Görge,Rainer Görge,TSVS,8,19,10,12,14,,,11
GER,8669,Tim Böger,Phillip Christian,HSC,4,18,18,DNC,11,,,12
SUI,8543,Cedric Bart,Filippe Jacot,,7,11,15,19,20,,,13
USA,7200,Alexander Meller,Andree Müller,,25,10,21,DNC,3,,,14
DEN,8082,Sören Andreasen,Jens Langedorf,,20,3,DNF,10,27,,,15
DEN,8551,Jacob Ernst,Jesper Ernst,,16,21,19,14,8,,,16
GER,8661,Diethardt Freye,Cord-Henrich Lefhalm,SVSS,14,13,20,DNC,10,,,17
GER,8388,Christian Kellner,Andreas Achterberg,HSC,19,16,12,17,15,,,18
GER,8500,Jörg Häger,Thorsten Drewes,SCB,17,25,16,15,16,,,19
GER,8478,Volker Görge,Karsten Morf,TSVS,15,17,28,16,21,,,20
GER,8563,Mathias Jetschke,Jens Weishaupt,WSCW,28,26,13,13,25,,,21
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,31,30,14,9,26,,,22
SWE,8585,Jan Eriksson,Torbjörn Linderson,SWE,18,14,26,26,22,,,23
GER,8519,Robert Wisolek,Christian Schuster,SVM,12,20,25,28,29,,,24
GER,8542,Tom Swift,Martin Schöler,WYC,11,15,DNF,DNS,19,,,25
GER,8607,Bernd Kowalzig,Kai Erhardt,SCB,23,29,23,18,30,,,26
GER,8665,Nicolai Völckner,Lars Dehne,HSC,DNC,27,22,20,24,,,27
GER,8127,Jürgen Eigenbrod,Thomas Jung,RSVW,24,24,24,22,23,,,28
GER,8376,Volker Niedik,Stefan Heising,BSV,29,22,DNF,DNC,5,,,29
GER,8256,Stefan Lange,Eike Dietrich,WSCW,30,32,17,21,34,,,30
GER,8649,Ronald Roos,Kirsten Roos,SVWu,21,31,30,25,35,,,31
GER,8465,Jens Hufnagel,Alexander Kirchmann,SCStM,27,33,27,23,31,,,32
GER,8609,Christian Müllejans,Hartwig Friedrichs,SVWu,DNC,28,29,24,28,,,33
GER,8674,Rainer Kremkow,Petra Beier,SCO,33,36,31,37,32,,,34
GER,8472,Hans Nöldecke,Norbert Lins,SVE,34,35,DNF,DNC,33,,,35
GER,8522,Carsten Engel,Tobias Neumeyer,PSVK,32,34,DNC,DNC,DNC,,,36
