Country,Sail Number,Helm,Crew,Club,25/09,26/09,26/09,27/09,27/09,,Pts. Discards,,Pts.,Place
GBR,8431,Ian Barker,,,1,1,4,3,[69],,78,69,9,1
GBR,8140,Ian Walters,,,3,[14],2,4,3,,26,14,12,2
GBR,8405,Hector Cisneros,,,5,6,[ 8],1,4,,23,8,15,3
GBR,8384,Robin Boardman,,,6,26/19,6,[14],2,,30,14,16,4
GBR,8458,Ian Pinnell,,,[8],7,1,7,5,,44,16,20,5
GBR,8242,Mark Upton-Brown,,,11,3,5,9,[16],,44,16,28,6
GBR,8489,Mark Longstaff,,,2,121,13,6,18,,52,21,31,7
GER,8470,Jens-Peter Schlomka,,,13,9,[68],10,8,,108,68,40,8
GBR,8416,Ian Montague,,,12,6,12,[13],12,,55,13,21,9
GER,8430,Tom Gosch,,,[25],22,11,5,7,,70,25,45,10
USA,843,Mike Holt,,,9,8,[20],15,13,,65,22,45,11
GER,8427,Dietrich Scheoer,,,10,17,[18],11,9,,65,18,47,12
GBR,8400,Geoff Cavesh,,,[21],15,7,16,11,,70,21,49,13
GBR,8244,Tim Rush,,,[31],16,17,12,6,,82,31,51,14
GER,837,Tim Boger,,,15,18,14,8,[69],,124,69,55,15
GER,8412,Volker Gorge,,,20,11,15,[25],15,,86,25,61,16
GBR,8495,David Peacock,,,48,27,24,19,[69],,143,69,74,17
GBR,8051,Steve Cooper,,,22,21,16,17,[69],,145,69,76,18
,8484,Vernon Dalston,,,18,23,[27],18,19,,105,27,78,19
,8414,Robert Shaw,,,16,13,30,26,[69],,154,69,85,20
GBR,8269,Paul Towers,,,7,10,3,69,[69],,158,69,89,21
GBR,8368,John Costard,,,36,12,[69],27,17,,161,69,92,22
GBR,8434,Andrew Walters,,,29,[38],19,24,20,,138,38,92,23
,8464,M Goult,,,26,[39],26/89,28,24,,143,39,104,24
,8464,Steve Venares,,,35,[36],33,28,23,,147,36,111,25
GBR,8305,John Webster,,,32,[43],32,22,25,,154,43,111,26
,84,Chris Haworih,,,14,19,10,69,[69],,181,69,112,27
FRA,8352,Alain Preel,,,28,[45],37,29,21,,160,45,115,28
GER,8254,Jan Stölken,,,[34],28,34,31,30,,157,34,123,29
GBR,8350,Chris Thorne,,,30,34,[35],33,27,,159,35,124,30
,8863,Harrel Buffet,,,37,[46],28,32,28,,171,46,125,31
,8095,Van Page,,,24,25,21,69,[69],,208,69,139,32
GBR,8357,Dave Parker,,,38,[44],39,36,26,,183,44,139,33
,7692,David Sadler,,,[67],35,38,37,29,,206,67,139,34
,8481,Paul Rotherton,,,[69],69,69,2,1,,210,69,141,35
,8062,Flchip Rimbert,,,39,[42],36,35,31,,183,42,141,36
GBR,8429,Rob Napier,,,19,33,22,69,[69],,212,69,143,37
GBR,8432,Debbie Jarvis,,,67,4,9,69,[69],,218,69,149,38
,8482,Aisling Kumar,,,27,26,31,69,[69],,222,69,153,39
GBR,8483,Ian Robson,,,33,38,23,69,[69],,224,69,155,40
FRA,8452,Pierre Soulier,,,[69],31,69,34,22,,225,69,156,41
,8348,Jacqes Bochu,,,[69],50,41,41,33,,234,69,165,42
,83,Paul Gorremans,,,[69],49,45,40,32,,235,69,166,43
,8388,James Yearsley,,,[69],69,69,21,14,,242,69,173,44
FRA,8188,Phillipe le Norment,,,[69],55,42,43,35,,244,69,175,45
GBR,8141,Simon Pestell,,,69,40,29,39,[69],,246,69,177,46
GBR,7715,Peter Way,,,43,54,[69],44,37,,247,69,178,47
,8490,James Baxter,,,[69],69,69,23,18,,248,69,179,48
,8462,Fitzner,,,[69],56,46,42,36,,249,69,180,49
GBR,8378,Martin Hodgson,,,23,24,69,69,[69],,254,69,185,50
,841,Erik Arthur,,,17,32,68,69,[69],,255,69,186,51
GBR,8157,Jim Berry,,,[67],53,67,38,34,,259,67,192,52
GBR,8449,Colin Merrett,,,69,29,69,30,[69],,266,69,197,53
GBR,8408,Roger Sherwood,,,42,48,44,69,[69],,272,69,203,54
GER,8465,Ursula Tetzlaff,,,69,41,25,69,[69],,273,69,204,55
GBR,8304,Frank Rainsborough,,,41,57,43,69,[69],,279,69,210,56
,8245,Julian Clarke,,,40,37,69,69,[69],,284,69,215,57
,8387,Martin Wedge,,,67,52,40,69,[69],,297,69,228,58
,7885,P Liavidet,,,69,58,47,69,[69],,312,69,243,59
,6217,Hugh Williams,,,67,47,67,69,[69],,319,69,250,60
GER,7878,Grietje Therkorn,,,67,51,69,69,[69],,325,69,256,61
GBR,8052,Anne Cave-Penney,,,67,59,69,69,[69],,333,69,264,62
GBR,8342,Mike Hattemore,,,67,67,67,69,[69],,339,69,270,63
,8488,Gary Lorret,,,69,69,69,69,[69],,345,69,276,64
