Nation,Boat NO,Helmsman,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GBR,7919,Nigel Buckley,Neil McDonald,,115,3,2,3,2,2,12,1
SWE,7922,Ebbe Rosen,011e Wenrup,,9,1,3,1,25,1,14,2
GBR,7787,Martin Jones,Bill Masterman,,3,12,6,4,3,3,19,3
GBR,7940,Peter Colclough,Harold Barnes,,2,5,8,2,32,7,24,4
GBR,7921,Chris Lewis,Russell Peters,,8,6,9,13,10,4,37,5
GBR,6933,Ossie Stewart,Kevin Richardson,,4,8,4,10,12,115,38,6
GBR,7809,Phillip Milanes,Bev Moss,,15,7,7,7,4,18,40,7
GBR,7915,Peter White,Steve Butcher,,32,2,1,8,1,45,43,8
GBR,7769,Nicholas Smith,Barry Smith,,47,10,21,5,28,5,69,9
GBR,7693,Nick Martin,Hugh Myers,,10,17,22,6,47,15,70,10
GBR,7788,Andy Gilmour,Nigel Bultitude,,14,14,15,30,5,22,70,11
GBR,7898,Clive Robinson,Malcolm Swallow,,30,11,11,32,13,6,71,12
GBR,7813,David White,Nigel Squirrel,,23,4,10,23,34,19,79,13
GBR,7701,John Kobylanski,Simon Briddon,,1,9,34,115,8,32,83,14
GBR,7818,Chris Stodel,Colin Merrett,,6,25,14,18,23,28,86,15
GBR,7803,David Peacock,Keith Summersgill,,29,44,5,39,7,9,89,16
GBR,7881,Neil Thomas,Damian Chisholm,,22,33,16,19,24,13,94,17
GBR,7929,Michael Lawton,John Greenwood,,18,22,20,115,27,20,107,18
GBR,7744,Tim Fells,Mike Kyte,,11,27,116,27,31,14,110,19
GBR,7650,Robert Shaw,Adrian Miles,,35,18,50,24,6,35,118,20
GBR,7840,Ian Andrews,Phil Cotton,,31,24,12,33,22,115,122,21
GBR,7880,John McClaren,Jack Edwards,,20,47,24,25,35,21,125,22
GBR,7944,Mark Wincer,Dave Bayfield,,54,23,55,17,11,23,128,23
GBR,7939,Robert Trickett,Dick Howl,,41,32,28,21,51,12,134,24
