SAIL,NUMBER,Helm,Crew,CLUB/ORG,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,BOAT NAME,TOTAL,NET,Place
USA,9106,Mike Martin,Adam Lowry,StFYC / NHYC,3,2,3,1,[7],[4],2,1,4,2,1,1,Mike's Boat,31,20,1
USA,9003,Mike Holt,Carl Smit,Santa Cruz YC,1,4,1,5,[8],6,[12],2,1,1,4,6,Jesse's Girl,51,31,2
USA,9004,Nic Baird,Eric Anderson,YCYC,5,1,5,2,[6],3,1,[7],3,6,2,4,N = 1,45,32,3
GER,8965,Mike Zani,Peter Alarie,Common Fence Point Dinghy Club,10,6,2,3,2,[17],8,3,[14],7,3,7,Schnitzel,82,51,4
USA,9160,Howard Hamlin,Jeff Nelson,NHYC/ABYC,[14],[13],4,4,10,12,6,4,6,3,8,2,Truckers Boat,86,59,5
USA,9102,Douglas Hagan,Rob Woelfel,TBD,7,3,10,9,13,10,[14],6,9,12,[21],5,Panic,119,84,6
CAN,9216,Robert Tennant,Steve Bourdow,RVicYC,[13],8,8,11,9,[25],5,11,5,4,12,12,None,123,85,7
USA,8715,Ethan Bixby,Chris Brady,St. Petersbury Sailing Center,2,11,13,8,1,14,7,9,12,[21],[15],13,Pressure Drop,126,90,8
USA,8714,Reeve Dunne,Morgan Pickney,NA,15,12,[18],[22],15,11,3,5,7,5,11,8,None,132,92,9
USA,8786,Luke Ingalls,John Ingalls,Sakonnet,8,7,6,15,4,5,9,14,15,[16],10,[17],Barbara,126,93,10
IRL,8987,Peter Scannell,John Dunlea,Monkstown Bay Sailing Club,17,9,7,7,[24],23,11,[24],10,20,7,14,Lookadatla,173,125,11
USA,909*,AJ Conrads,Solomon Marini,Tahoe Yacht Club,4,10,[21],14,3,[22],13,18,21,18,17,9,None,170,127,12
USA,9095,Macy Nelson,Russell Miller,West River Sailing Club,16,19,[22],6,[27],13,19,8,8,11,19,11,Highway 95 Revisited,179,130,13
USA,9172,Paul Scoffin,Brendan Heussler,MBYC,[19],17,19,13,12,8,10,17,16,10,13,[22],Tamaki,176,135,14
USA,8083,Alex Tong,Adam Wolnikowski,YCYC,[24],21,20,19,[23],7,4,15,11,17,5,18,The Bassmaster,184,137,15
USA,8851,Mike Komar,Ted Huebner,Sail Newport Inc,9,14,[23],12,5,20,15,[26],20,13,20,16,None,193,144,16
USA,916*,Pierre Jeangirard,Paul Von Grey,PVGYC,12,5,16,16,14,[DNC - 32],20,16,[DNF - 32],9,DSQ - 32,20,None,224,160,17
USA,9007,Matthew Barry,,YCYC,[RET - 32],[RET - 32],DNF - 32,DNC - 32,11,1,22,12,18,14,14,15,License to Kill,235,171,18
USA,9186,Ted Bjerregaard,Keith Longson,Ida Lewis YC,[23],15,14,17,17,16,16,22,[23],22,16,19,Uncle Drew,220,174,19
USA,9005,Tom Kivney,Gordon Russell,Hingham Yacht Club,[DNF - 32],18,9,10,28,19,24,13,13,[DNF - 32],24,21,Katiebear,243,179,20
USA,8854,Craig Thompson,Mike Curtin,Minnis Bay Sailing Club,[DNC - 32],[DNC - 32],DNC - 32,DNC - 32,16,2,26,19,19,15,9,10,Thompson Boat Works,244,180,21
USA,8930,Duane Delfosse,Mike Hull,Lake Sunapee YC,6,20,11,18,20,[26],[28],23,24,19,22,25,None,242,188,22
USA,90*,Ted Conrads,Brian Haines,Tahoe,[DNC - 32],[DNC - 32],DNC - 32,DNC - 32,DNC - 32,DNC - 32,DNC - 32,10,2,8,6,3,IBIWCYHI,253,189,23
USA,8841,Ali Meller,Mike Smith,International 505 Class,21,[26],17,21,19,9,17,21,17,[DNF - 32],25,23,Plan C,248,190,24
USA,8951,David Kirkpatrick,RJ Bay,Sail Newport,11,16,15,[DNF - 32],18,15,18,[DNC - 32],DNC - 32,DNC - 32,DNC - 32,DNC - 32,Toxic Masculinity,285,221,25
USA,8857,Brendan Connell,Gabriel Watson,West River Sailing Club,18,23,12,23,26,24,25,20,22,[DNF - 32],[DNC - 32],DNC - 32,In The Red,289,225,26
USA,9173,Sterling Spruill,Travis Tucker,Hampton Yacht Club,22,24,26,[RET - 32],21,28,27,25,[DNF - 32],DNF - 32,18,24,Team trouble,311,247,27
USA,8814,Lin Robson,Jason Breeden,SPSC,20,22,24,24,25,21,21,[DNF - 32],[DNC - 32],DNC - 32,DNC - 32,DNC - 32,Sojourner,317,253,28
USA,8643,Barney Harris,,WRSC & PRSA,[DNC - 32],25,25,20,22,18,29,[DNC - 32],DNC - 32,DNC - 32,DNC - 32,DNC - 32,Ten Percent for the Big Guy,331,267,29
USA,9001,Andrew Schoene,Sam Normington,SailMaine,25,[DNF - 32],[DNC - 32],DNC - 32,29,27,23,DNF - 32,DNC - 32,DNC - 32,23,26,None,345,281,30
USA,8012,Lennart Nilsson,,Jamestown YC,[DNC - 32],[DNC - 32],DNC - 32,DNC - 32,DNC - 32,DNC - 32,DNC - 32,DNC - 32,DNC - 32,DNC - 32,DNC - 32,DNC - 32,None,384,320,31
