Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
,0,Paul Shipley,Shipley,,1,1,DNF,1,2,2,,1
,0,Carl Leede,?,,2,DNF,DNS,2,3,1,,2
,0,Athmann,Moser,,DNS,DNF,DNS,4,1,3,,3
USA,0,von Grey,Hamsher,,DNS,DNS,DNS,3,4,4,,4
