,Boot,Steuermann,Vorschoter,Club,Platzierungen,Sum,Platz
GER,9011,Michael Daisenberger,Christian Schönbach,DTYC,1,1,1
GER,8875,Katja Müller,Johannes Tellen,,2,2,2
GER,8990,Cornelia Oczycz,Wolfgang Stückl,BYC,3,3,3
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,4,4,4
GER,9043,Nicola Birkner,Angela Stenger,SVaW,5,5,5
GER,8672,Karsten Contag,Guido von Walter,SCLW,6,6,6
GER,8725,Max Weiß,Katharina Berggren,DTYC,7,7,7
AUT,8921,Martin Schmidt,Michael Mayrhofer,ASKÖ,8,8,8
GER,8658,Christina Höll,Alexander Wilhelm,HSC,9,9,9
GER,8562,Fabian Martyson,Achim Funk,SGR,10,10,10
GER,8463,Mats Westholm,Pedro Bohnenberger,SCLW,11,11,11
GER,8861,Wolfgang Seifert,Ivonne Seifert,SCLW,12,12,12
GER,8642,Thoralf Greger,Nils Burghard,ASVG,13,13,13
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,14,14,14
GER,8579,Hans-Jürgen Rentelmann,Markus Hintz,BSC,15,15,15
GER,8862,Robert Wisolek,Clemens Pirker,SCLW,16,16,16
GER,8697,Wilfried Stuis,Thorge Holm,YCN,17,17,17
GER,7921,Jochen Heydolph,Fabian Martyson,SCLW,18,18,18
GER,8998,Ingo Schneider,Pia Matscheroth-Brodwurm,SCLW,19,19,19
GER,8098,Albrecht Maisch,Frank Letsche,SGK,20,20,20
GER,8590,Jürgen Ziegler,Matthias Pfister,SCLW,21,21,21
FRA,6425,Benoit Dehais,Charles Henry Cayrol,SRB,22,22,22
GER,7275,Dirk Hütten,Stefan Buschhitter,,23,23,23
