,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Sum,Platz
GER,8651,Christian Kellner,Kathrin Adelkofer,HSC,3,1,4,8,1
GER,8807,Max Weiß,Jonas Vogt,DTYC,1,7,1,9,2
GER,9011,Michael Daisenberger,Christian Schönbach,DTYC,2,6,3,11,3
GER,9043,Nicola Birkner,Angela Stenger,SVaW,13,3,2,18,4
GER,8642,Thoralf Greger,Nils Burghard,ASVG,10,4,8,22,5
GER,8843,Oliver Kraft,Frank Heimburger,SSCM,8,9,5,22,6
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,7,10,6,23,7
GER,8672,Karsten Contag,Guido von Walter,SCLW,4,5,17,26,8
GER,8725,Johannes Berggren,Berggren Katharina,SCLW,4,5,13,22,9
GER,8463,Mats Westholm,Pedro Bohnenberger,SCLW,6,13,7,26,10
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,15,2,10,27,11
GER,8580,Jens Olbrysch,Anekathrin Ehmann,HSC,12,11,9,32,12
GER,8598,Anna Höll,Bernd Heinisch,,17,14,12,43,13
GER,8861,Wolfgang Seifert,Peter Daferner,SCLW,9,17,19,45,14
GER,8658,Christina Höll,Alexander Wilhelm,HSC,14,22,11,47,15
GER,8862,Robert Wisolek,C. Pirker,SCLW,21,16,14,51,16
GER,8579,Peter Wackerbauer,Claudia Opitz,RSB,23,12,18,53,17
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,24,15,15,54,18
AUT,8758,Armin Koren,Verena Fian,UYCWö,18,20,16,54,19
GER,8530,Alexander von Mertens,Volker Böhringer,StSC,16,19,21,56,20
GER,6610,Stefan Krumm,Uwe Krumm,SSCM,11,27,20,58,21
GER,8562,Jochen Heydolph,Fabian Martyson,SCLW,19,18,22,59,22
GER,8473,Christoph Bökle,Michael Marker,SSCM,20,21,24,65,23
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,22,23,25,70,24
GER,8098,Albrecht Maisch,Frank Letsche,SGK,25,24,23,72,25
GER,7275,Dirk Hütten,Stefan Buschhitter,,27,25,28,80,26
FRA,6425,Benoit Dehais,Nicolas Dehais,SRB,28,26,26,80,27
GER,8590,Jürgen Ziegler,Matthias Pfister,SCLW,26,28,27,81,28
