,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,Platz
FRA,7995,Philippe Blanchard,Florent Duplouy,ACAL,2,5,1,2,2,2,1,,1
GER,8327,Dirk Frank,Stefan Kempf,SCS,DSQ,6,3,5,1,1,2,,2
GER,6535,Jens Olbrysch,Anekathrin Ehmann,HSC,3,4,4,4,5,5,3,,3
GER,8849,Pedro Bohnenberger,Frank Weber,SCIA,1,3,5,6,9,3,DNF,,4
GER,8279,Frank Walter,Florian Hassdenteufel,SCNS,5,2,2,7,8,11,7,,5
FRA,9019,Robert Lehmann,Bernard Edel,ACAL,9,9,6,3,4,6,4,,6
GER,8751,Maximilian Roller,Alexander von Mertens,Hei SC,8,7,OCS,8,6,4,5,,7
GER,8669,Daniel Winkel,Christian Winkel,YCSB,4,1,OCS,1,3,DNC,DNC,,8
GER,8622,Hilmer Goedeking,Michael Schöefer,WSV-L,7,13,9,10,13,7,6,,9
GER,8697,Wilfried Stuis,Thorge Holm,YCN,12,11,8,9,7,9,9,,10
GER,8424,Claus-Michael Lehr,Christine Schaal-Lehr,SCNS,6,10,7,14,12,12,12,,11
GER,8052,Jürgen Feuerhake,Karl-Heinz Sax,YCSb,11,12,10,12,10,10,8,,12
GER,8415,Elmar Neugart,Carola Bernecker,SZHB,13,8,12,15,11,8,10,,13
GER,6610,Stefan Krumm,Uwe Krumm,SSCM,10,14,14,11,14,DNC,11,,14
GER,8478,Holger Medtke,Bjoern Simmes,SSCM,15,16,11,13,15,13,13,,15
GER,5597,Anne Nehrenberg,Peter Hoor,SCBo,14,15,13,16,16,14,14,,16
