,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Platz,
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,1,5,6,1
GER,8747,Martin Kittsteiner,Oliver Stieglitz,HSC,4,3,7,2
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,7,1,8,3
GER,8989,Andreas Jungclaus,Thomas Tschentscher,HSC,2,6,8,4
GER,8988,Oliver Thies,Christoph Engel,,3,8,11,5
GER,8929,Paul Meyer,Rolf Meyer,SCED,11,2,13,6
GER,9046,Hartwig Friedrichs,Antje Gosch,WSCW,5,1,6,7
GER,8500,Jens Kühne,Arne Lanatowitz,OSG,12,7,19,8
GER,8932,Christian Henge,Matthias Fedde,OSG,9,11,20,9
GER,8609,Jörn Wille,Martin Bergmann,MSC,6,16,22,10
DEN,8828,Michael Wonterghem,Fabiola Wonterghem,SoSe,10,14,24,11
GER,8619,Steve Kwee,Thorsten Spötter,HSC,18,9,27,12
GER,8482,Christian Lempp,Birgit Hartmann,HSC,14,13,27,13
GER,8480,Marc Köster,Kai Homes,BSV-AT,17,12,29,14
GER,8528,Andre Tirre,Frank Wille,YCS,13,19,32,15
GER,8728,C. Dittmers,Rainer Görge,NRV,DNC 24,4,28,16
GER,8654,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,15,2,17,17
NED,8287,B. Kalf,Mark Kalf,WV Br,19,17,36,18
GER,7861,Katharina Menge,Henning Ries,OSG,16,21,37,19
GER,8741,Jürgen Anton,Ulf Denecke,HSC,8,DNC 24,32,20
GER,8999,Karsten Stümpel,Markus Hintz,HSC,20,18,38,21
GER,8051,Jan Koop,A. Severin,HSC,21,22,43,22
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,DNF 24,15,39,23
