,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Sum,Points,Platz
GER,8725,Johannes Berggren,Berggren Katharina,SCLW,1,2,1,1,[3],8,5,1
GER,8672,Karsten Contag,Guido von Walter,SCLW,2,[4],3,2,1,12,8,2
GER,8642,Thoralf Greger,Nils Burghard,ASVG,4,1,[6],2,2,13,9,3
GER,8669,Daniel Winkel,Christian Winkel,YCSB,3,3,2,[7],6,21,14,4
GER,8598,Anna Höll,Bernd Heinisch,,[13],5,4,3,7,32,19,5
GER,8388,Georg Geyer,Peter Wolffram,,7,[11],8,5,4,35,24,6
GER,8463,Mats Westholm,Pedro Bohnenberger,SCLW,6,6,7,[8],5,32,24,7
AUT,8921,Martin Schmidt,Michael Mayrhofer,ASKÖ,[10],7,5,4,9,35,25,8
GER,8098,Albrecht Maisch,Frank Letsche,SGK,5,8,9,11,[12],45,33,9
GER,8579,Peter Wackerbauer,Klaudia Opitz,RSB,[12],9,1,9,8,39,27,10
GER,7946,Jens Friedrich,Lars Lippmann,CYC,9,10,13,[DNC 15],10,57,42,11
GER,8697,Wilfried Stuis,Thorge Holm,YCN,8,12,10,[13],13,56,43,12
GER,7445,Stefan Müller,Pascal Roquette,WHW,11,[14],14,12,11,62,48,13
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,[DNF 15],13,12,10,14,64,49,14
