,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Sum,Points,Platz
GER,8656,Kurt Reincke,Carsten Hehl,HSC,1,1,[6],1,1,10,4,1
GER,8966,Walter Steding,Hans-Werner Steding,HSC,3,6,1,[7],5,22,15,2
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,4,4,5,[6],2,21,15,3
GER,8989,Andreas Jungclaus,Arne Lanatowitz,HSC,7,2,2,[8],6,25,17,4
GER,8619,Steve Kwee,Thorsten Spötter,HSC,5,3,7,3,[11],29,18,5
GER,8480,Marc Köster,Christoph Köster,BSV-AT,2,9,[OCS 21],5,3,40,19,6
GER,8741,Jürgen Anton,Ulf Denecke,HSC,[10],5,4,9,4,32,22,7
GER,6767,Hans-Jürgen Rentelmann,Markus Hintz,BSC,[11],7,3,4,9,34,23,8
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,15,[16],13,2,7,53,37,9
GER,8932,Christian Henge,Matthias Fedde,OSG,12,[17],8,12,8,57,40,10
GER,8730,Iris Anton,Birgit Hartmann,HSC,8,10,9,[15],14,56,41,11
GER,8500,Jens Kühne,Katja Henge,OSG,[13],12,11,10,12,58,45,12
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,[17],8,10,14,15,64,47,13
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,19,[20],12,11,10,72,52,14
GER,8482,Christian Lempp,Max Rauner,HSC,[DNC 21],14,16,13,13,77,56,15
GER,8744,Lutz Kandzia,Armin Splisteaser,ASV,9,15,17,[18],16,75,57,16
GER,8531,Anna Hauschild,Maxi Kempermann,SCS,16,11,15,16,[17],75,58,17
GER,8317,Christina Burger,Alena-Larissa Wilkens,SVO,6,19,[DNC 21],19,20,85,64,18
GER,7861,Katharina Menge,Doreen Jäschke,OSG,18,13,14,[BFD 21],19,85,64,19
GER,8493,Boris Baltzer,Christian Baltzer,HSC,14,[18],18,17,18,85,67,20
