Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GER,9040,Meike Schomäker,Holger Jess,ZSK,2,1,DNF,1,2,,1
GER,8929,Tom Gosch,Rolf Meyer,ENSFV,1,3,2,3,1,,2
GER,8806,Stefan Köchlin,Thomas Jung,SKF,3,2,1,2,DNF,,3
GER,8721,Sophie Heyer,Sebastian Salein,JSC,7,4,10,4,3,,4
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,4,5,4,6,5,,5
GER,8741,Jürgen Anton,Ulf Denecke,HSC,6,9,6,8,4,,6
GER,8825,Michael Troch,Eckart König,SGJ,5,7,3,DNC,10,,7
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,8,6,7,7,8,,8
GER,8989,Andreas Jungclaus,Bruno Laudage,HSC,9,8,8,5,DNF,,9
GER,8657,Georg Neulen,Peter Gerdts,WYCA,14,10,12,10,6,,10
GER,9046,Hartwig Friedrichs,Antje Gosch,WSCW,10,14,5,12,DNF,,11
GER,8513,Christian Niefert,Sven Dömges,BSV,11,12,13,11,7,,12
GER,8550,Martha Hauschild,Michael Heyder,SCS,12,15,9,15,9,,13
GER,8619,Steve Kwee,Thorsten Spötter,HSC,13,13,11,14,11,,14
GER,8656,Kurt Reincke,Carsten Hehl,HSC,16,11,14,13,DNF,,15
GER,8609,Jörn Wille,Martin Bergmann,MSC,15,DNF,DNF,9,DNF,,16
GER,8730,Iris Anton,Birgit Hartmann,HSC,DNF,16,DNF,17,DNF,,17
GER,7219,Matthias Dachs,John Christiansen,HSC,18,DNF,DNF,16,DNF,,18
GER,8744,Lutz Kandzia,Armin Splisteaser,ASV,17,DNF,DNF,DNF,DNF,,19
