,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Platzierungen 8,Platzierungen 9,,,Platz
GER,9070,Meike Schomäker,Holger Jess,ZSK,1,1,1,1,1,1,1,1,1,,,1
GER,9059,Sophie Heyer,Sebastian Salein,JSC,2,2,3,9,7,2,4,5,2,,,2
GER,9040,Norbert Dasenbrook,Sven Meier,KSW,DNC 33,3,7,11,3,5,3,2,4,,,3
GER,8747,Martin Kittsteiner,Oliver Stieglitz,HSC,9,5,4,2,2,4,8,8,10,,,4
GER,9046,Hartwig Friedrichs,Ulf Geisler,WSCW,3,8,10,15,4,9,7,3,3,,,5
GER,8686,Christian Niefert,Sven Dömges,BSV,11,12,2,5,5,3,9,12,9,,,6
GER,8825,Michael Troch,Eckart König,SGJ,6,11,5,10,11,6,6,10,6,,,7
GER,8580,Jens Olbrysch,Anekathrin Ehmann,HSC,5,4,13,13,14,7,5,7,7,,,8
GER,9054,Franziska Unkelbach,Lars Dehne,KYC,17,14,9,8,15,1,2,6,5,,,9
GER,9015,Bastian Horstmann,Jan Wiechmann,SVBB,12,6,6,3,DNF 33,14,10,14,11,,,10
GER,8563,Stefan Schmidt,Wiebke Gewinn,SVSS,20,20,12,6,9,8,11,9,15,,,11
GER,8619,Steve Kwee,Thorsten Spötter,HSC,19,18,8,4,12,11,12,11,18,,,12
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,13,19,16,7,6,10,16,18,12,,,13
DEN,8828,Michael Wonterghem,Fabiola Wonterghem,SoSe,16,9,DNF 33,12,10,16,15,15,13,,,14
GER,8550,Martha Hauschild,Michael Heyder,SCS,25,17,22,17,8,13,13,8,13,,,15
GER,8669,Daniel Winkel,Christian Winkel,YCSB,10,10,11,19,DNC 33,DNC 33,14,4,14,,,16
GER,8932,Christian Henge,Rainer Gieseler,OSG,14,24,17,14,13,12,20,19,22,,,17
GER,8730,Iris Anton,Birgit Hartmann,HSC,18,27,19,16,19,DNC 33,18,17,19,,,18
GER,8480,Marc Köster,Christoph Köster,BSV-AT,22,23,20,20,16,DNC 33,17,21,16,,,19
GER,7861,Katharina Menge,Doreen Jäschke,OSG,24,22,14,18,21,15,23,24,25,,,20
GER,7219,Matthias Dachs,John Christiansen,HSC,30,25,18,22,17,DNC 33,21,22,23,,,21
GER,8697,Wilfried Stuis,Thorge Holm,YCN,26,26,DNC 33,21,20,17,22,25,24,,,22
GER,8279,Michael Becker,Florian Hassdenteufel,SCNS,23,13,DNF 33,DNC 33,DNC 33,DNC 33,19,16,17,,,23
GER,8327,Dirk Frank,Armin Hoechst,SCS,21,15,15,23,18,DNC 33,DNC 33,DNC 33,DNC 33,,,24
GER,8531,Anna Hauschild,Maxi Kempermann,SCS,15,31,DNC 33,DNC 33,DNC 33,DNC 33,24,20,21,,,25
GER,8962,Sophie Söllner,Pia Matscheroth-Brodwurm,CYC,7,7,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,,,26
GER,7760,Eike Frahseck,Tammo Barfuß,,28,29,21,DNC 33,DNC 33,DNC 33,26,26,27,,,27
GER,8741,Jürgen Anton,Ulf Denecke,HSC,4,16,DNF 33,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,,,28
GER,9029,Jürgen Waldheim,Jan-Rolf Schmidt,PYC,8,21,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,,,29
GER,8392,Dirk Barteldt,,SCVP,31,30,DNC 33,DNC 33,DNC 33,DNC 33,25,23,26,,,30
GER,8495,Iris Ruhnau,Hein Peters,,27,28,DNF 33,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,20,,,31
GER,8991,Horst Sjuts,Thore Holm,SVSS,29,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,DNC 33,,,32
