,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,9026,Morten Bogacki,Christian Meier-Kothe,DYC,3,1,2,1,1,,1
GER,9046,Hartwig Friedrichs,Antje Gosch,WSCW,1,4,1,6,2,,2
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,2,2,3,4,3,,3
GER,9054,Nicolai Völckner,Lars Dehne,HSC,8,DNC,4,2,5,,4
GER,8619,Steve Kwee,Thorsten Spötter,HSC,6,7,5,3,7,,5
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,4,9,7,5,8,,6
GER,8988,Oliver Thies,Alena-Larissa Wilkens,,9,5,8,9,4,,7
GER,8528,Andre Tirre,Frank Wille,YCS,7,8,6,8,9,,8
GER,8500,Jens Kühne,Katja Henge,OSG,10,6,10,11,6,,9
GER,9000,Enno Wilts,Katharina Menge,SVBB,DNC,11,9,7,11,,10
GER,8370,Stephan Graff,Christian Kopp,,11,13,12,10,12,,11
GER,9015,Bastian Horstmann,Jan Wiechmann,SVBB,5,3,DNC,DNC,DNC,,12
GER,8375,Mario Tirre,Henry Stoffers,SCZ,12,14,11,13,10,,13
GER,8317,Christina Burger,Helge Wendt,SVO,14,10,13,12,13,,14
GER,8469,Hansjörg Ehlers,Peter Famulla,ZSK,13,12,14,14,DNC,,15
