,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,,,,,Platz
GER,9027,Wolfgang Hunger,Julien Kleiner,PYC,1,4,3,1,1,2,10,3,1,8,3,,1
GER,9070,Meike Schomäker,Holger Jess,ZSK,2,2,1,15,2,5,1,6,4,1,7,,2
DEN,8964,Jan Saugmann,Morten Ramsbæk,HiS,4,19,5,2,3,1,2,1,8,5,1,,3
GER,8651,Christian Kellner,Martin Schöler,HSC,3,13,2,5,13,3,6,4,5,6,5,,4
GER,8875,Jens Findel,Johannes Tellen,KYC,7,6,8,4,6,4,24,2,2,4,25,,5
GER,8929,Tom Gosch,Rolf Meyer,ENSFV,8,3,10,3,7,9,18,5,3,DNC,9,,6
GER,8992,Claas Lehmann,Leon Oehme,NRV,11,5,6,8,5,7,20,13,15,12,2,,7
DEN,9023,Tom Bøjland,Anders Friis,Farum,14,7,12,13,14,8,3,11,14,2,4,,8
GER,8927,Ulf Pleßmann,Hans-Heinrich Rix,AYC,6,11,14,6,8,15,4,10,7,26,12,,9
GBR,9067,Bertrand Loyal,Laurant Nevo,,5,12,7,10,10,DNC,8,15,13,9,6,,10
GER,9020,Tim Böger,Markus Schöner,HSC,19,10,9,9,4,6,9,7,17,24,8,,11
DEN,8958,Nikolaj Buhl,Henrik Buhl,,15,20,16,27,16,13,15,9,9,11,18,,12
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW,17,18,28,7,15,16,22,18,12,10,11,,13
GER,9054,Helen Fischer,Lars Dehne,BYC,12,14,18,19,18,DNC,12,14,11,17,14,,14
FRA,8844,Xavier Broise,Nicolas Des Jaminieres,,RAF,17,11,14,9,11,5,19,16,23,26,,15
AUS,8957,Kevin Cameron,Josh Mortensen,,18,24,13,11,DNF,DNC,7,8,10,3,22,,16
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,16,15,19,18,21,17,19,12,19,14,23,,17
GER,8956,Bernd Rasenack,Axel Priegann,ZSK,30,23,29,16,12,10,17,17,20,19,15,,18
GER,8901,Carlo Mäge,Wolfgang Stückl,DTYC,9,1,15,25,27,DNC,27,20,21,15,19,,19
GER,9026,Hasso Plattner,Peter Alarie,KYC,25,29,17,12,22,14,21,21,18,13,17,,20
GER,8958,Stefan Böhm,Frank Böhm,SCV,22,25,22,17,11,18,29,RAF,24,21,16,,21
GER,9043,Nicola Birkner,Angela Stenger,SVaW,24,16,25,21,23,DNC,23,25,25,18,13,,22
GER,9028,Stefan Köchlin,Andreas Achterberg,SKF,13,9,4,DNC,DNC,DNC,14,DNC,6,16,10,,23
GER,9059,Sophie Heyer,Sebastian Salein,JSC,10,8,23,20,17,12,11,22,DNC,DNC,DNC,,24
GER,8989,Andreas Jungclaus,Thomas Tschentscher,HSC,21,26,31,24,19,21,16,16,23,30,24,,25
GER,8972,Ronald Roos,Patrick Treichel,SVWu,23,21,20,23,20,23,32,26,27,25,21,,26
GER,8656,Kurt Reincke,Carsten Hehl,HSC,26,30,21,26,34,25,13,DNC,DNF,7,20,,27
GER,8741,Jürgen Anton,Ulf Denecke,HSC,27,22,24,DNC,29,DNC,26,28,26,22,27,,28
GER,8657,Georg Neulen,Peter Gerdts,WYCA,34,31,30,37,25,DNC,25,24,28,27,30,,29
GER,8932,Christian Henge,Matthias Fedde,OSG,29,33,32,42,24,22,30,32,29,28,34,,30
FRA,9068,François de Lisle,Bertrand Lapeyre,CVP,28,28,35,40,32,30,33,23,32,29,28,,31
DEN,8828,Michael Van Wonterghem,Fabiola Van Wonterghem,Soro,31,32,26,30,28,DNC,36,30,33,20,35,,32
GER,8843,Oliver Kraft,Frank Heimburger,SSCM,33,36,27,28,33,26,31,27,30,DNC,DNC,,33
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,,35,39,39,31,30,20,35,31,36,36,32,,34
GER,7861,Katharina Menge,Henning Ries,OSG,32,37,38,32,26,24,42,35,39,31,31,,35
GER,8990,Frieder Achterberg,Jochen Femerling,DTYC,20,27,33,33,DNC,DNC,32,29,22,DNC,DNC,,36
GER,8730,Iris Anton,Birgit Hartmann,HSC,DNC,DNC,DNC,22,31,19,38,33,31,39,33,,37
GER,8437,Henning Steffen,Tilman Giesen,SLRV,37,38,41,34,45,28,28,37,35,40,37,,38
GER,8500,Jens Kühne,Katja Henge,OSG,36,34,36,39,37,DNF,37,34,34,34,29,,39
GER,8874,Konrad Barop,Dirk Barteldt,RSV,38,41,34,29,36,27,39,36,37,37,42,,40
GER,8458,Marius Brill,Max Quentmeier,SYR,40,40,37,35,38,29,41,DNC,42,33,40,,41
GER,8721,Daniel Czeninga,Martin Lietz,FSV 03 eV,41,40,37,35,38,29,41,DNC,42,33,40,,42
GER,8622,Hilmer Goedeking,Michael Schöefer,WSV-L,39,35,40,41,39,DNC,44,RAF,40,DNC,DNC,,43
GER,8522,Fréderic von Nerée,Jean-Jaques Bertheau,NRV,DNC,DNC,DNC,36,DNC,DNC,45,38,38,41,39,,44
GER,6817,Ralf Schneidewind,Armin Splisteaser,KSC,DNC,DNC,DNC,38,DNC,DNC,40,DNC,DNC,32,38,,45
GER,8670,Theo Kohl,Juliane Kohl,WWSC 70,DNC,DNC,DNC,43,DNF,DNC,43,40,DNC,35,41,,46
