Sail,Boat No,Helm,Crew,Club/Country,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Crew Club/Country,Net P,P tot,Pos
USA,9072,Mike Holt,Carl Smit,ETATS UNIS D'AM,1,3,2,(4),3,1,3,2,-,15,19,1
GBR,9088,Andy Smith,Tim Needham,GRANDE-BRETAGNE,5,1,10,1,1,(22),1,1,-,20,42,2
GBR,9163,Ian Pinnel,Alex Davies,GRANDE-BRETAGNE,4,4,1,5,2,(13),5,3,-,24,37,3
GER,9152,Wolfgand Dr.Hunger,Julien Kleiner,ALLEMAGNE,2,(21),7,3,4,7,2,4,-,29,50,4
USA,9153,Howard Hamlin,Jeffrey Nelson,ETATS UNIS D'AM,3,2,3,2,5,15,7,(16),-,37,53,5
USA,9084,Tyler Moore,Andrew Buttner,ETATS UNIS D'AM,7,5,6,6,7,9,14,(20),-,54,74,6
GER,9169,Tim Boeger,Jess Holger,ALLEMAGNE,6,6,(15),8,10,3,11,13,-,57,72,7
GER,8929,Kai Bertallot,Jan Reifferscheidt,ALLEMAGNE,15,8,(21),7,11,4,4,9,-,58,79,8
GER,9101,Timon Treichel,Morten Roos,ALLEMAGNE,10,12,4,(16),8,5,15,5,-,59,75,9
GBR,9117,Thomas Gillard,Fynn Sterritt,GRANDE-BRETAGNE,8,11,11,9,(19),8,6,10,-,63,82,10
GER,9070,Stefan Koechlin,Andreas Achterberg,ALLEMAGNE,(32),9,9,11,9,6,13,8,-,65,97,11
GER,9135,Stefan Boehm,Gerald Roos,ALLEMAGNE,28,(51 DNF),5,13,6,11,8,7,-,78,129,12
SUI,9147,Caroline Jacot,Philippe Jacot,SUISSE,20,15,(24),12,12,10,12,12,-,93,117,13
GER,9146,Frieder Achterberg,Johannes Tellen,ALLEMAGNE,17,(24),8,19,13,2,24,15,-,98,122,14
USA,9168,Bruce Edwards,Richard Mundell,ETATS UNIS D'AM,9,7,14,(26),14,19,21,22,-,106,132,15
GBR,9104,Harry Briddon,Adam Kenney,GRANDE-BRETAGNE,11,17,13,14,21,(27),17,17,-,110,137,16
FRA,9075,Philippe Boite,Florian Corbel,C V ST QUENTIN,16,10,19,(23),17,12,19,19,C V L  L'ABER WRAC'H,112,135,17
FRA,9076,Xavier Broise,Nicolas Des Jamonieres,S N P H,22,28,17,10,18,(30),16,11,S N P H,122,152,18
SUI,8614,Florian Stauffer,Valery Jacot,SUISSE,12,18,(39),17,27,17,20,18,-,129,168,19
GBR,9155,Mark Upton-Brocon,Ian Mitchell,GRANDE-BRETAGNE,21,26,18,(27),25,26,9,6,-,131,158,20
GBR,9136,Stewart Mears,Richard Tucker,GRANDE-BRETAGNE,13,16,26,21,23,(33),10,23,-,132,165,21
SUI,8613,Ueli Marti,Betschen René,SUISSE,(24),13,23,18,22,24,18,14,-,132,156,22
SUI,9096,Bart Cédric,Laurent Grob,SUISSE,19,19,20,15,15,(29),22,26,-,136,165,23
GER,9171,Stefan Giesler,Frank Boehm,ALLEMAGNE,27,25,(30),20,20,14,27,21,-,154,184,24
GER,9035,Ronald Roos,Nils-Henning Hofmann,ALLEMAGNE,23,22,22,24,24,23,25,(27),-,163,190,25
GER,8975,Alexander Holzapfel,Stefan Worm,ALLEMAGNE,31,23,27,(51 DNF),29,20,23,24,-,177,228,26
GER,9090,Christian Kellner,Olle Wenrup,ALLEMAGNE,25,(51 DNF),16,22,16,32,26,51 DNF,-,188,239,27
FRA,8820,Thibault Di Pede,Fabrice Toupet,C V SEINE-PORT,29,27,(32),30,30,21,28,28,C V SEINE-PORT,193,225,28
GER,9043,Nicola Birkner,Angela Stenger,ALLEMAGNE,37,32,29,32,28,16,30,(51 DNF),-,204,255,29
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,S N DE ST TROPEZ,26,30,(35),34,33,35,34,33,Y C TOULON,225,260,30
FRA,8954,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE,35,31,28,41,35,(43),31,25,C N HAUTE SEINE,226,269,31
FRA,9099,Gilles Chapelin,Alain Karadjian,C V BORDEAUX,(51 DNF),29,31,31,39,28,36,35,C V ST QUENTIN,229,280,32
AUS,9028,Earle Alexander,Arne Lanatowitz,AUSTRALIE,(51 DNF),51 DNF,12,25,43,36,35,32,-,234,285,33
DEN,9118,Jan Saugmann,Jakob Karbo,DANEMARK,14,14,25,29,(51 DNF),51 DNF,51 DNF,51 DNF,-,235,286,34
SUI,8961,Toni Utiger,Sacha Wirth,SUISSE,30,34,33,35,32,(44),37,37,-,238,282,35
FRA,8900,Serge Gubri,Gael Le Mauguen,C V SEINE-PORT,(51 DNF),51 DNF,37,28,26,41,32,29,C V SEINE-PORT,244,295,36
FRA,8716,Aline Martin,Yves Coltier,Y C ILE DE FRANCE,36,33,(51 DNF),33,34,39,39,30,POLE NAUTI SUD GOELO,244,295,37
FRA,9103,Olivier Magret,Mathieu Glade,Y C TOULON,(51 DNF),51 DNF,34,38,36,25,43,31,Y C TOULON,258,309,38
SUI,9060,Catherine Houriet,Gil Donze,SUISSE,(51 DNF),51 DNF,41,36,41,37,29,34,-,269,320,39
FRA,8847,Bastian Le Morvan,Matthieu Gougeon,ASPTT TROYES,33,(51 DNF),51 DNS,51 DNF,31,31,40,38,C N BAIE ST VAAST,275,326,40
