,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,,Points,Platz
FRA,8870,Christian Silvestre,Martin Aline,CVB,1,1,3,,5,1
FRA,9081,Philippe Blanchard,Florent Duplouy,ACAL,4,2,1,,7,2
FRA,9019,Veronique Brenet,Jean-Pierre Peter,ACAL,2,3,2,,7,3
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,YCSb,5,4,5,,14,4
FRA,8847,Muriel Agrapart,Frank Agrapart,,6,5,4,,15,5
GER,8843,Oliver Kraft,Frank Heimburger,SSCM,3,7,DNC 11,,21,6
GER,8691,Harald König,Michael Müller,SHVL,7,8,6,,21,7
GER,8473,Christoph Böckle,Michael Marker,SSCM,8,7,DNC 11,,26,8
GER,8712,Uwe Krumm,Katja Frühwald,SSCM,10,9,7,,26,9
BEL,9064,Philippe Vandersteen,Andre Dumonceau,,9,10,DNC 11,,30,10
