Country,Boot,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9, points ,Platz
FRA,9075,Philippe Boite,Pierre-Jean Gallo,CVM,2,4,3,5,7,3,3,1,4,22,1
GBR,9088,Andy Smith,Tim Needham,,6,3,1,12,3,4,1,5,1,24,2
AUS,9134,Michael Quirk,Rob Woelfel,MHYC,3,2,4,2,1,9,4,8,21,33,3
GBR,9163,Ian Pinnell,Alex Davies,,1,1,10,3,6,3,5,14,7,36,4
RSA,8340,Graeme Willcox,Alan Haylett,,9,10,19,4,5,11,8,7,2,56,5
FRA,9050,Hervé de Kergariou,Basile Géron,,10,5,7,7,2,12,6,9,11,57,6
FRA,9076,Xavier Broise,Nicolas des Jamonières,,11,7,5,1,8,14,11,2,15,59,7
FRA,9099,Gilles Chapelin,Alain Karadjian,,8,6,6,8,11,10,7,6,13,62,8
FRA,9137,Bernard Boime,Ludovic Roblin,,5,DNF,3,15,4,8,14,10,5,64,9
FRA,8896,Antoine Lafortune,Geraud Lafortune,CVSP,13,12,8,6,15,5,3,13,12,72,10
FRA,8716,Aline Martin,Yves Coltier,,7,11,18,9,9,6,9,4,DNC,73,11
SUI,9147,Caroline Jacot,Philippe Jacot,CVN,12,8,17,22,16,7,13,3,3,79,12
FRA,8820,Thibault Di Pède,Fabrice Toupet,,4,19,13,20,13,1,17,16,8,91,13
FRA,8870,Christian Silvestre,Vincent Coltier,CVB,15,14,12,16,10,18,114,0,0,106,14
FRA,9010,Baptiste Lafortune,Gilles Carvallo,,19,18,11,10,14,17,19,DNC,14,122,15
FRA,8900,Serge Gubri,Gaël le Mauguen,JMIAM,18,16,9,18,19,19,10,17,17,124,16
FRA,9019,Véronique Brenet,Jean-Pierre Peter,ACAL,20,17,16,17,12,15,21,18,10,125,17
FRA,9086,Elisabeth Neidhart,David de Monteil,,17,22,23,13,17,16,20,11,16,132,18
GER,8915,Davina Schlesiger,Marvin Schlesiger,MSC,14,15,15,19,21,20,16,15,18,132,19
FRA,9031,Philippe Lucienne,Vivien Lucienne,SRDC,28,13,14,11,20,13,23,19,20,133,20
FRA,9045,Nicolas Guillou,Alain Ferec,SNP,16,9,22,25,27,24,12,22,0,157,21
FRA,9084,Jacques Dechauffour,Sabine Dechauffour,,24,26,20,26,26,26,18,12,19,171,22
AUS,9071,Richard Hyde,David Johnson,,25,25,21,23,24,23,25,24,9,174,23
SUI,9060,Catherine Houriet,Giles Donzé,,23,24,25,24,18,21,22,20,DNC,177,24
AUS,9028,Earle Alexander,Lean Mc,,21,20,24,21,22,22,24,25,26,179,25
FRA,8729,Jordane Lafortune,Bertrand Lapeyre,,22,21,28,14,23,25,26,26,25,182,26
FRA,0,Vincent Peter,Maxim Lozach,,27,23,26,27,25,27,27,23,24,202,27
FRA,6313,Denis Morel,Thibaut Morel,,26,27,30,30,31,28,29,27,23,220,28
FRA,0,Jean-Babtiste Hubert,Valere Leblic,,DNF,DNF,31,29,29,31,30,28,22,234,29
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,YCSb,DNF,DNC,29,28,28,29,28,29,DNC,239,30
FRA,0,Thierry Muniglia,Alexandre Ligny,,DNF,28,27,31,30,30,31,DNF,DNC,245,31
FRA,,Nicolas Martin,Julien Lafortune,,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,272,DNC
GBR,,Stewart Mears, ,,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,DNS,272,DNC
