,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,,,,,Platz
GER,8992,Lutz Stengel,Frank Feller,ROYC,5,2,1,1,1,DNF,9,2,5,9,,,1
GER,8929,Kai Bertallot,Jan Reifferscheidt,FSC,1,6,8,10,10,2,2,1,3,3,,,2
GER,8669,Jan-Philipp Hofmann,Felix Brockerhoff,DY,18,1,2,12,6,3,3,10,4,2,,,3
DEN,9128,Nikolaj Buhl,Hewrik BUHL,,10,7,6,3,2,5,5,6,16,4,,,4
GER,9135,Stefan Böhm,Gerald Roos,SCV,3,16,19,5,7,4,7,8,6,8,,,5
GER,9121,Jens Olbrysch,Oliver Thies,HSC,14,3,9,4,11,9,11,3,19,5,,,6
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,7,4,10,9,8,15,13,7,8,19,,,7
GER,9146,Thure Gnadberg,Johannes Tellen,BSV,6,13,12,11,12,13,8,9,2,11,,,8
GER,9070,Stefan Köchlin,Andreas Achterberg,SKF,2,18,5,8,17,6,4,17,14,23,,,9
GER,9043,Nicola Birkner,Angela Stenger,SVaW,13,5,7,14,4,16,14,21,7,12,,,10
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,20,8,3,15,19,12,15,14,9,6,,,11
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,4,9,14,22,9,14,12,12,12,15,,,12
GER,9152,Wolfgang Hunger,Julien Kleiner,PYC,DNC,DNC,DNC,2,3,1,1,4,1,1,,,13
GER,9113,Sophie Söllner,Karsten Stümpel,CYC,12,15,15,19,34,8,10,13,24,16,,,14
GER,9133,Frieder Achterberg,Wolfgang Stückl,DTYC,12,15,15,19,34,8,10,13,24,16,,,15
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW,9,17,13,17,14,DNC,16,5,15,28,,,16
GER,9035,Ronald Roos,Morten Roos,SVWu,11,14,18,27,DNF,7,6,16,23,14,,,17
GER,9130,Andreas Jungclaus,Thomas Tschentscher,HSC,8,21,16,41,41,22,17,11,11,13,,,18
RSA,9129,Tina Plattner,David Shelton,,15,11,11,34,28,17,DNC,20,20,10,,,19
AUS,9028,Earle Alexander,Leon Oehme,RQYS,26,38,29,21,22,11,18,37,10,7,,,20
GER,9066,Peter Gerdts,Christian Labenz,HSC,17,20,28,23,40,10,19,19,22,29,,,21
GER,9054,Anika Wollenbecker,Raik Wollenbecker,YCBG,19,27,33,30,13,21,22,18,25,30,,,22
GER,8903,Steve Kwee,Thorsten Spötter,HSC,22,28,17,45,33,20,24,23,21,33,,,23
GER,8849,Henrik Schade,Fabien Vergil,WVW,23,23,23,18,23,DNF,DNC,27,30,24,,,24
GER,9144,Jürgen Anton,Ulf Denecke,HSC,27,22,24,7,DNC,DNC,DNC,22,18,25,,,25
POL,9132,Przemek Zagorski,Michal Olko,SKZ,21,10,22,20,25,DNC,DNC,DNC,22,18,,,26
GER,8875,Torsten Simon,Alexander Neddermeier,PYC,36,31,26,28,30,25,23,34,26,27,,,27
GER,9006,Michael Rehberg,Stefan Rausch,VBS,DNC,DNC,DNC,26,5,18,21,24,28,39,,,28
GER,8458,Robert Bautz,Sascha Spors,ASVR,37,35,36,37,15,24,26,28,27,44,,,29
GER,9141,Konrad Otto,Martin Lietz,SGS,40,DNC,30,25,31,26,30,38,32,18,,,30
GER,9151,Walter Steding,Hans-Werner Steding,HSC,24,34,DNC,13,27,DNC,DNC,DNC,13,17,,,31
GER,8550,Martha Hauschild,Michael Heyder,SCS,30,26,21,29,24,DNC,DNC,29,33,37,,,32
GER,9123,Enno Wilts,Martin Bernauer,SVBB,28,32,35,46,35,23,28,26,37,36,,,33
POL,8802,Dominik Ostrowski,Jan Siekierzynski,,39,24,31,38,16,31,31,33,39,38,,,34
GER,9021,Jens Biederer,Hendrik Annighöfer,HSC,35,25,25,31,18,DNC,DNC,32,34,32,,,35
GER,8750,Peter Kruse,Arne Wittemer,SCH,DNC,19,27,35,26,DNC,DNC,25,38,26,,,36
AUS,9071,Richard Hyde,David Johnson,,25,42,34,44,42,28,27,30,35,31,,,37
GER,8988,Georg Mittermayer,Dirk Barteldt,LYC,33,30,32,40,29,29,25,42,36,46,,,38
GER,8672,Dirk Hütten,Guido von Walter,,31,39,42,33,20,27,32,41,45,35,,,39
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,32,29,20,16,26,DNC,DNC,DNC,40,34,,,40
GER,8932,Christian Henge,Katharina Menge,OSG,41,40,38,24,21,DNC,DNC,31,42,21,,,41
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,29,33,40,39,43,30,29,36,44,41,,,42
GER,8964,Iris Anton,Bruno Laudage,HSC,38,36,37,32,37,DNC,DNC,35,29,40,,,43
GER,8999,Rebecca Snedeker,Frederik Burmester,SCRhe,45,41,43,36,44,DNF,33,40,43,43,,,44
GER,8630,Lars Lankenau,Thomas Wasilewski,SFHS,43,43,41,43,32,DNC,DNC,39,41,42,,,45
GER,9000,Thorsten Pösch,Malte Fiedler,SGSZ,34,37,39,DNC,39,DNC,46,45,0,46,,,
GER,8469,Hansjörg Ehlers,Thomas Afken,ZSK,42,44,DNC,42,45,DNC,DNC,44,DNC,DNC,,,47
GER,8664,Jeremias Paulke,Markus Paulke,BG017,44,45,44,47,RET,DNC,DNC,45,DNC,DNC,,,48
