,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Points,Platz
GER,9144,Jürgen Anton,Ulf Denecke,HSC,5,1,,6,1
GER,9146,Harald Möser,Johannes Tellen,WYC,4,4,,8,2
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,2,7,,9,3
GER,8519,Thure Gnadberg,Aron Tellen,BSV,1,1,,2,4
GER,8317,Christina Burger,Hartwig Friedrichs,SVO,8,3,,11,5
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,10,2,,12,6
GER,8934,Frank Beier,Hubertus Ritter,SCLM,6,6,,12,7
GER,8903,Steve Kwee,Thorsten Spötter,HSC,9,5,,14,8
GER,8901,Andre Tirre,Frank Wille,YCS,7,8,,15,9
GER,8750,Peter Kruse,Arne Wittemer,SCH,11,9,,20,10
GER,9113,Sophie Söllner,Karsten Stümpel,CYC,3,DNC 17,,20,11
GER,8964,Iris Anton,Bruno Laudage,HSC,12,12,,24,12
GER,8849,Henrik Schade,Fabien Vergil,WVW,15,11,,26,13
GER,8728,Jonah Splettstößer,Frederik Burmester,WSCW,14,13,,27,14
GER,8505,Peter Wichtrap,Mario Tirre,,13,15,,28,15
GER,8469,Hansjörg Ehlers,Thomas Afken,ZSK,16,14,,30,16
