,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,,Platz
GER,9144,Jürgen Anton,Stefan Worm,HSC,1,2,6,1,2,5,2,,,1
GER,8825,Michael Troch,Birgit Hartmann,SGJ,2,5,2,6,1,1,3,,,2
GER,8988,Georg Mittermayer,Dirk Barteldt,LYC,4,3,1,2,4,6,4,,,3
GER,8964,Iris Anton,Bruno Laudage,HSC,5,4,3,3,OCS,8,5,,,4
GER,9000,Thorsten Pösch,Enno Wilts,SGSZ,7,8,5,4,6,4,6,,,5
GER,8686,Markus Hintz,Jonas Christiansen,HSC,3,6,4,5,7,11,9,,,6
GER,9021,Jens Biederer,Oliver Thies,HSC,6,1,DNF,DNC,5,7,1,,,7
GER,8932,Christian Henge,Katja Henge,OSG,11,7,7,7,8,3,7,,,8
GER,8317,Christina Burger,Hartwig Friedrichs,SVO,8,DNF,DNC,DNC,3,2,8,,,9
GER,8051,Jan Koop,Andreas Lucko,HSC,9,9,8,8,10,9,11,,,10
GER,8988,Katharina Menge,Felix Mittermayer,OSG,10,10,DNF,DNC,9,10,10,,,11
GER,8392,Hilke Bölts,Rainer Gieseler,WeiSe,DNF,DNF,DNF,9,11,12,12,,,12
GER,8654,Dirk Lübbers,Delf Reumann,OSG,DNF,DNC,DNC,DNF,DNF,13,13,,,13
