,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,9090,Christian Kellner,Johannes Tellen,HSC,3,1,4,2,1,,1
GER,9122,Max Hibler,Kilian Northoff,BYC,1,4,1,11,8,,2
GER,9133,Frieder Achterberg,Morten Roos,DTYC,8,9,3,1,3,,3
GER,8975,Alexander Holzapfel,Finn Böger,PSVK,2,10,8,3,2,,4
GER,8519,Thure Gnadeberg,Aron Tellen,BSV,6,3,5,4,4,,5
GER,9043,Nicola Birkner,Angela Stenger,SVaW,4,2,7,5,6,,6
GER,9169,Tim Böger,Frank Weigelt,HSC,5,15,2,7,7,,7
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,7,11,6,6,5,,8
GER,9054,Anika Wollenbecker,Raik Wollenbecker,YCBG,12,7,9,8,10,,9
GER,9114,Mats Westholm,Pedro Bohnenberger,SCLW,10,5,15,10,13,,10
GER,8702,Martin Handel,Volker Böhringer,SGK,9,DNF,11,9,9,,11
GER,8849,Henrik Schade,Fabian Vergil,WVW,11,12,10,13,12,,12
GER,8672,Dirk Hütten,Guido von Walter,,16,6,13,12,15,,13
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,13,14,12,16,11,,14
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,14,13,14,14,16,,15
GER,8658,Erik Vetter,Alexander Wilhelm,HSC,17,8,16,17,DNC,,16
GER,8990,Ralf Breitenfeldt,Thore von Puttkammer,HSC,18,17,17,15,14,,17
GER,8691,Harald König,Katja Frühwald,SHVL,15,16,18,DNF,17,,18
