,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,Platz
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,1,1,BFD,1,1,,,1
GER,9151,Walter Steding,Hans-Werner Steding,HSC,3,10,2,3,3,,,2
GER,9169,Tim Böger,Markus Schöner,HSC,4,2,BFD,6,2,,,3
GER,8385,Torsten Simon,Alexander Neddermeier,PYC,7,3,3,2,7,,,4
GER,9144,Jürgen Anton,Ulf Denecke,HSC,2,7,BFD,5,6,,,5
GER,9021,Jens Biederer,Hendrik Annighöfer,HSC,5,4,BFD,5,6,,,6
GER,8915,Davina Schlesiger,Marvin Schlesiger,MSC,8,8,1,7,5,,,7
GER,9113,Joseph Schuette,Karsten Stümpel,WSW,6,6,5,8,9,,,8
GER,6768,Markus Hintz,Jonas Christiansen,HSC,13,9,4,9,14,,,9
GER,8433,Patrick Ziegelmueller,Katharina Menge,HSC,11,14,7,11,10,,,10
GER,8370,Felix Graff,Stephan Graff,SLRV,15,5,9,15,11,,,11
GER,8999,Rebecca Snedker,Frederik Burmester,SCRhe,9,11,10,13,15,,,12
GER,8988,Georg Mittermayer,Dirk Barteldt,LYC,14,18,8,12,12,,,13
GER,8964,Iris Anton,Bruno Laudage,HSC,17,12,BFD,10,8,,,14
GER,8989,Klaus Brinkbäumer,Max Rauner,HSC,10,13,11,16,13,,,15
GER,8630,Lars Lankenau,Anna Schipler,SFHS,16,15,6,17,16,,,16
GER,8654,Dirk Lübbers,Alena-Larissa Wilkens,OSG,12,16,12,14,17,,,17
GER,8570,Leif Koch,Nick Brandt,NRV,18,17,13,18,18,,,18
