Country,Boot,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Points,Platz
GER,9070,Christian Kellner,Andreas Achterberg,HSC,[1],1,1,1,1,5,4,1
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,2,2,[3],2,2,11,8,2
GER,8672,Karsten Contag,Guido von Walter,SCLW,3,[5],2,3,3,16,11,3
GER,877*,Thoralf Greger,Thorsten Koch,ASVG,[5],4,4,4,4,21,16,4
GER,9114,Mats Westholm,Pedro Bohnenberger,SCLW,6,3,6,5,[7],27,20,5
GER,8861,Wolfgang Seifert,Ivonne Seifert,SCLW,4,[6],5,6,6,27,21,6
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,[DNC 12],DNC 12,7,7,5,43,31,7
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,8,7,[11],8,8,42,31,8
GER,8990,Ralf Breitenfeldt,Thore von Puttkammer,HSC,9,8,8,[11],9,45,34,9
GER,8579,Peter Wackerbauer,Klaudia Opitz,RSB,7,[DNF 12],9,9,11,48,36,10
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,[10],9,10,10,10,49,39,11
