,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Points,Platz
GER,9121,Jens Olbrysch,Oliver Thies,HSC,4,1,5,1
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,1,5,6,2
GER,9101,Timon Treichel,Morten Roos,DYC,3,3,6,3
GER,9066,Peter Gerdts,Christian Labenz,HSC,2,11,13,4
GER,8903,Steve Kwee,Thorsten Spötter,HSC,6,7,13,5
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,5,9,14,6
GER,8849,Henrik Schade,Fabian Vergil,WVW,7,8,15,7
GER,8519,Thure Gnadeberg,Aron Tellen,BSV,DNC 15,2,17,8
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW,DNC 15,4,19,9
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,DNC 15,6,21,10
GER,9021,Jens Biederer,Hendrik Annighöfer,HSC,DNC 15,10,25,11
GER,8370,Felix Graff,Stephan Graff,SLRV,DNC 15,12,27,12
GER,8901,Andre Tirre,Frank Wille,YCS,DNC 15,13,28,13
GER,8721,Martin Bernauer,Martin Lietz,CNFT,DNC 15,14,29,14
