Nation,Segel-Nr.,Helm,Crew,Club (helm),Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Boat name,Club (crew),Gesamt,Platz
GER,8992,Lutz Stengel,Frank Feller,ROYC / MV.003,5,2,1,1,1,(DNF/49),9,2,5,9,,ROYC / MV.003,35,1
GER,8929,Kai Bertallot,Jan Reifferscheidt,FSC / SH.001,1,6,8,-10,10,2,2,1,3,3,,KYC / SH.017,36,2
GER,8669,Jan-Philipp Hofmann,Felix Brockerhoff,DYC / NW.002,-18,1,2,12,6,3,3,10,4,2,,DYC / NW.002,43,3
DEN,9128,Nikolaj Hoffmann Buhl,Henrik Buhl,HS,10,7,6,3,2,5,5,6,-16,4,Brille Mie,HS,48,4
GER,9135,Stefan Böhm,Gerald Roos,SCV / NW.087,3,16,-19,5,7,4,7,8,6,8,,SCV / NW.087,64,5
DEN,912*,Jens Olbrysch,Oliver Thies,HSC / BA.016,14,3,9,4,11,9,11,3,-19,5,Standschlampe reloaded,HSC,69,6
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK / R.027,7,4,10,9,8,15,13,7,8,-19,Annie aime les sucettes,SCR / H.001,81,7
GER,9146,Thure Gnadeberg,Johannes Tellen,BSV / N.040,6,-13,12,11,12,13,8,9,2,11,,MYC / BA.003,84,8
GER,9070,Stefan Köchlin,Andreas Achterberg,SVS / BW.041,2,18,5,8,17,6,4,17,14,-23,,BYC / BA.001,91,9
GER,9043,Nici Birkner,Angela Stenger,VSAW / B.044,13,5,7,14,4,16,14,-21,7,12,Bikini Atoll,MYC / BA.003,92,10
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW / BA.050,-20,8,3,15,19,12,15,14,9,6,,SCLW / BA.050,101,11
GER,8720,Lennart Tasche,Frederik Tasche,WSVG 09 / NW.262,4,9,14,-22,9,14,12,12,12,15,,WSVG 09 / NW.262,101,12
GER,9152,Wolfgang Dr. Hunger,Julien Kleiner,PYC / B.048,(DNC/49),DNC/49,DNC/49,2,3,1,1,4,1,1,,KYC / SH.017,111,13
GER,9113,Sophie Söllner,Karsten Stümpel,CYC / BA.025,16,12,4,6,-38,19,20,15,17,20,,HSC / HA.004,129,14
GER,9133,Frieder Achterberg,Wolfgang Stückl,DTYC / BA.004,12,15,15,19,-34,8,10,13,24,16,Ramme IV,DTYC / BA.004,132,15
GER,9040,Norbert Dasenbrook,Sven Meier,KSW / N.019,9,17,13,17,14,(DNC/49),16,5,15,28,Horst,SKBUE / NW.174,134,16
GER,9035,Ronald Roos,Morten Roos,SVWU / NW.137,11,14,18,27,(DNF/49),7,6,16,23,14,,SVWU / NW.137,136,17
GER,9130,Andreas Jungclaus,Thomas Tschentscher,HSC / HA.004,8,21,16,-41,41,22,17,11,11,13,IT-FOR-LOGISTICS.DE,HSC / HA.004,160,18
RSA,9129,Tina Plattner,David Shelton,RCYC,15,11,11,34,28,17,(DNC/49),20,20,10,,SCYC,166,19
AUS,9028,Earle Alexander,Leon Oehme,DPSS,26,-38,29,21,22,11,18,37,10,7,Earle Grey,KYC / SH.017,181,20
GER,9066,Peter Gerdts,Christian Labenz,SVWU / NW.137,17,20,28,23,-40,10,19,19,22,29,Hetz mich nicht !,SVWU / NW.137,187,21
