Nr,Sail Number,Team,Club,R1,R2,R3,R4,R5,R6,T,N,
GER 9152,Wolfgang Dr Hunger,Holger Jess,PYC,1,1,1,1,1,(13) DNC,18,5,1
DEN 9128,Martin Friderichsen,Henrik Buhl,Aalborg Sejlklub,2,(9),5,4,2,1,23,14,2
GBR 9079,Jesper Bülow,Soren Asboe Jorgensen,Kaløvig Bådelaug,4,(7),4,5,3,2,25,18,3
GER 9149,Leonie Marie Meyer,Rolf Meyer,NRV,5,2,2,2,(13) DNC,13 DNC,37,24,4
GER 8669,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,3,3,3,3,(13) DNC,13 DNC,38,25,5
GER 9020,Jörn Wille,Martin Bergmann,MSC,6,4,6,6,(13) DNC,13 DNC,48,35,6
DEN 8828,Fabiola Wonterghem,Sorø Sejlforening,,7,11,8,(13) DNF,13 DNC,3,55,42,7
GER 8458,Robert Bautz,Sascha Spors,ASVZR,10,5,7,9,(13) DNC,13 DNC,57,44,8
GER 8750,Peter Kruse,Arne Wittemer,SC HATTINGEN,9,8,9,7,(13) DNC,13 DNC,59,46,9
GER 9057,Catrin Janssen,Jana Hiller,ZSK,8,6,(13) DNS,8,13 DNC,13 DNC,61,48,10
GER 8934,Frank Beier,Hubertus Ritter,SCLM,11,10,10,(13) DNC,13 DNC,13 DNC,70,57,11
GER 9123,Frederik Burmester,Martin Bernauer,CKA,(13) DNC,13 DNC,13 DNC,13 DNC,13 DNC,13 DNC,78,65,12
