Nation,Boat No,Helm,Crew,Club,Race 1,Points,Place
GBR,7452,Lawrie Smith,Mark Simpson,,,"5,75",1
GBR,7327,Peter Colclough,Harold Barnes,,,"6,5",2
GBR,7368,Graham Thomas,Ian Godfrey,,,21,3
GBR,7277,Dave White,Terry Lawton,,,23,4
GBR,7317,Richard Lord,Ken Norris,,,26,5
GBR,7491,Edward Owen,Gavin Higgins,,,27,6
GBR,7456,Peter White,Bev Moss,,,34,7
GBR,7307,Peter Kyne,Robbie Roberton,,,35,8
GBR,7432,Ben Tucker,Phil Cotton,,,37,9
AUS,7018,Neil Harrison,Nick Paterson,,,39,10
GBR,7430,J E Kobylanski,S Briddon,,,40,11
GBR,7446,Robert Trickett,Keith Summersgill,,,40,12
GBR,7427,Ian Stewart,John Redgate,,,"43,75",13
GBR,7466,Phil Milanes,John Labbett,,,48,14
GBR,7399,Clive Robinson,Peter Slater,,,51,15
GBR,6890,Neil Thomas,Dave Symington,,,54,16
GBR,7460,John McLaren,,,,58,17
GBR,7436,Steve France,John Murphy,,,65,18
GBR,7170,Mike Hattemore,Mike Payne,,,71,19
GBR,7428,David Allinson,John Allinson,,,77,20
GBR,6782,Stewart Hawthorn,,,,78,21
GBR,7378,Vernon Ralston,Peter Siddall,,,79,22
GBR,6847,Peter Fisher,M P Robertson,,,79,23
GBR,7435,John Patterson,Phil Brown,,,80,24
GBR,7441,Lloyd Fryer,Chris Royden,,,82,25
GBR,7189,A H R Gibbons,David Gibbons,,,82,26
GBR,7449,Dave Revill,Nigel Brackenbury,,,83,27
HKG,7106,Mark Thornburrow,Kendal Law,,,85,28
GBR,6514,R Hunt,David Williamson,,,89,29
GBR,6785,J Barrowcliffe,Gareth Edwards,,,90,30
GBR,7004,Ian Andrew,Geoff Holden,,,91,31
GBR,6851,Julian Hereward,John Langley,,,94,32
GBR,7163,Robin Whittle,Nigel Annereau,,,97,33
GBR,7267,lain Stowe,Alan Markham,,,97,34
GBR,7425,Roger Deane,Tim Williams,,,98,35
GBR,6688,John Goldsbrough,Clive Hardy,,,"101,5",36
GBR,7415,Julian Redman,Simon Evans,,,112,37
GBR,7435,Tim Marlow,Kevin Richardson,,,113,38
GBR,7239,Chris Dando,Nicholas Hart,,,123,39
GBR,7383,Neil Willmott,Paul Willmott,,,124,40
FRA,7438,Bernard Oudard,Denis Vanier,,,125,41
GBR,7141,Steve Lambourne,,,,126,42
GBR,7211,Keith Pins,,,,130,43
GBR,6548,Nicholas Smith,Barry Smith,,,133,44
GBR,6244,Gary Lowrey,Craig Lowrey,,,136,45
