Country,Boat No.,Helmsman,Crew,Club,Grafharn 1,Grafharn 2,Grafharn 3,Pwilhell 1,Pwilhell 2,Pwilhell 3,Hayllng 1,Hayllng 2,Hayllng 3,Brancaster 1,Brancaster 2,Brancaster 3,Large 1,Large 2,Large 3,Worthing 1,Worthing 2,Worthing 3,Total Pnts,Best 10,Final Pos
GBR,7327,Peter Colclough,,,1,1,1,,2,1,200,200,200,20,2,68,1,1,5,2,1,4,708,11,1
GBR,7430,John E. Kobylanski,,,2,5,5,,20,6,31,2,4,8,3,4,24,11,5,7,6,25,168,42,2
GBR,7277,David White,,,84,4,17,,1,4,18,20,11,11,6,66,6,11,6,3,5,1,276,47,3
GBR,7368,Graham Thomas,,,3,15,3,,19,3,8,6,9,1,8,3,6,7,8,200,200,200,699,48,4
GBR,6933,S. D. Stewart,,,8,10,4,,5,13,10,1,13,67,70,1,23,105,103,1,27,5,465,57,5
GBR,7456,Peter White,,,5,11,7,,200,200,1,12,1,4,12,7,9,9,16,200,200,200,1094,66,6
GBR,7307,Peter Kyne,,,7,7,83,,13,10,6,73,29,12,9,68,22,2,11,45,2,6,405,72,7
GBR,7436,J. Patterson,,,36,12,12,,11,8,2,14,14,10,1,8,12,36,32,9,19,12,248,85,8
GBR,7466,Phil Milanes,,,200,200,200,,8,7,11,5,73,2,4,10,13,25,10,200,200,200,1368,95,9
GBR,7446,Robert Trickett,,,200,200,200,,6,18,5,21,10,13,16,13,7,30,3,10,21,15,788,98,10
GBR,7447,David Treloar,,,32,24,14,,3,70,25,18,15,6,14,5,103,2,106,4,26,19,486,100,11
GBR,7448,D. A. Clark,,,19,13,13,,7,12,41,15,12,15,21,12,200,200,200,6,10,7,803,107,12
GBR,7391,Mark Elkington,,,24,35,21,,18,17,9,3,6,18,11,17,200,200,200,200,7,3,989,109,13
GBR,7004,Ian Andrew,,,26,8,18,,12,16,20,25,8,24,18,15,32,48,11,13,11,8,313,120,14
GBR,7170,Mike Hattemore,,,9,3,6,,200,200,22,29,7,200,200,200,4,45,22,45,8,11,1211,121,15
GBR,7378,Vernon Ralston,,,93,53,16,,63,70,26,9,3,61,23,9,18,41,20,14,4,17,540,133,16
GBR,7436,Steve France,,,18,30,83,,16,70,43,4,23,42,25,68,10,37,18,5,12,2,506,133,16
GBR,7317,Richard Lord,,,16,29,83,,63,19,4,40,26,17,17,19,5,14,7,200,200,200,959,144,18
GBR,7345,Tim Marlow,,,28,23,31,,200,200,14,22,30,35,5,11,29,19,65,8,3,13,736,146,19
GBR,6980,Neil Thomas,,,11,6,10,,63,70,17,23,24,26,13,22,17,16,21,15,32,200,586,148,20
GBR,7399,Clive Robinson,,,200,200,200,,63,9,7,10,5,29,19,23,35,12,4,200,200,200,1416,153,21
GBR,7383,Neil Willmott,,,10,2,2,,4,2,37,73,73,67,76,68,16,5,103,200,9,200,947,154,22
GBR,6851,Julian Hereward,,,4,17,8,,200,200,73,50,73,19,26,14,33,54,7,12,23,200,1013,163,23
GBR,7432,Ben Tucker,,,20,36,15,,70,70,36,26,39,7,70,68,22,3,12,30,16,18,558,169,24
GBR,6958,Mike Platts,,,25,21,44,,14,5,19,56,73,61,22,6,25,43,103,19,28,200,764,184,25
GBR,7387,R. Bennett,,,84,27,11,,10,63,13,37,37,200,200,200,31,42,103,18,17,9,1102,210,26
GBR,7390,John Murphy,,,6,39,23,,23,24,23,35,36,200,200,200,53,64,27,17,22,14,1006,214,27
GBR,7141,Steve Lambourne,,,12,32,200,,200,200,28,8,27,200,200,200,44,25,57,11,13,23,1480,223,28
GBR,7239,Chris Dando,,,33,200,27,,63,27,29,13,18,37,7,32,21,71,31,200,200,200,1209,238,29
GBR,7189,Adrian Gibbons,,,48,51,28,,200,200,200,200,200,30,24,34,27,18,37,24,14,10,1345,246,30
