Country,Boot,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Punkte,Platz
GER,8741,Jürgen Anton,Ulf Denecke,HSC,[1],1,1,1,4,3,1
GER,8825,Michael Troch,Birgit Hartmann,SGJ,[2],2,2,2,8,6,2
GER,8500,Katharina Menge,Jens Kühne,OSG,[9],3,3,3,18,9,3
GER,8317,Christina Burger,Hartwig Friedrichs,SVO,3,[6],4,5,18,12,4
GER,8964,Iris Anton,Bruno Laudage,HSC,5,5,[10],4,24,14,5
GER,8988,Georg Mittermayer,Dirk Barteldt,LYC,7,4,5,8,24,24,6
GER,8932,Christian Henge,Katja Henge,OSG,4,8,[9],6,27,18,7
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,6,7,[DNF 16],9,38,22,8
GER,9000,Martin Bernauer,Enno Wilts,CNFT,8,[9],8,7,32,23,9
GER,8495,Iris Ruhnau,Andreas Dillmann,,[14],10,6,10,40,26,10
GER,8437,Davina Schlesiger,Telse Rüter,MSC,11,[13],7,11,42,29,11
GER,7764,Meike Hermanns,Rainer Gieseler,OSG,13,12,11,[14],50,36,12
GER,8428,Christian Lempp,Max Rauner,HSC,12,[DNF 16],12,12,52,36,13
GER,8522,Henning Oberbeck,Simon Blessing,HSC,10,11,[DNF 16],DNC 16,53,37,14
GER,8373,Jörg Kinder,Volkmar Leitzke,RSV,15,[DNF 16],13,13,57,41,15
