,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Points,Platz
GER,9043,Nicola Birkner,Angela Stenger,SVaW,1,1,,2,1
GER,8990,Lena Stückl,Wolfgang Stückl,DTYC,2,2,,4,2
GER,8672,Karsten Contag,Guido von Walter,SCLW,3,4,,7,3
GER,9122,Benedikt Northoff,Kilian Northoff,BYC,5,3,,8,4
GER,9023,Max Eisenrieder,Dirk Penno,YCaT,4,8,,12,5
GER,9114,Mats Westholm,Thoralf Greger,SCLW,7,5,,12,6
GER,8598,Anna Höll,Bernd Heinisch,,6,6,,12,7
GER,8530,Alexander von Mertens,Christian Dörr,StSC,8,7,,15,8
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,9,9,,18,9
GER,8458,Anika Wollenbecker,C. Wollenbecker,YCBG,DNF 11,DNC 11,,22,10
