Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
GER,8875,Findel Jens,Tellen Johannes,KYC,1,1,3,OCS 27*,1,6,1
GER,9101,Giesler Stefan,Bohm Frank,VSaW,3,7*,2,3,3,11,2
DEN,89641*,Saugmann Jan,Karbo Jakob,HS,-6,5,1,4,2,12,3
GER,8775,Sell Jan,Gewinn Wiebke,SVWS,4,8,-11,1,6,19,4
GER,8956,Rasenack Bernd,Bruckner Stefan,ZSK,2,4,9,OCS 27*,4,19,5
DEN,8828,Wonterghem Fabiola,Wonterghem Michael,Ss,-13,9,4,7,5,25,6
GER,8519,Gnadeberg Thure,Tellen Aron,BSV,10,-13,5,6,7,28,7
GER,9046,Friederchs Hartwig,Gosch Antje,WSCW,-17,3,7,5,16,31,8
GER,9000,Bernauer Martin,Witts Enno,OSG,5,16,-17,2,12,35,9
GER,9054,Dachs Matthias,Alberts Jorn,HSC,12,6,6,13,-17,37,10
GER,87*,Anton Jurgen,Denecke Ulf,HSC,-18,2,16,11,11,40,11
GER,8964,Anton Iris,Schmidt Stefan,HSC,7,-17,10,10,13,40,12
GER,8686,Rentelmann Hans-Jurgen,Hintz Marcus,BSC,-14,10,12,12,8,42,13
GER,8874,Steffen Henning,Tilman Giesen,SLRV,8,-20,19,9,9,45,14
GER,8550,Hauschild Martha,Heyder Michael,SCS,11,12,-14,8,14,45,15
GER,8437,Schlesiger Davina,Schlesiger Marvin,MSC,9,14,8,17,-19,48,16
GER,8500,Menge Katharina,Kohne Jens,OSG,-15,11,13,15,15,54,17
GER,8721,Czeninga Daniel,Litz Martin,Kuhritz,19,15,15,-20,10,59,18
GER,8531,Hauschild Anna,Kempermann Maxi,SCS,16,19,-21,14,18,67,19
GER,8988,Mittermayer Georg,Mittermayer Felix,SCLL,20,18,18,16,27 DNS*,72,20
GER,8630,Lankenau Lars,Anna Dorothea Schipler,SFHS,21,21,27 DNF*,18,23,83,21
GER,7764,Lilibbers Dirk,Albrecht Tim,OSG,27 DNF*,27 DNC,20,19,20,86,22
GER,8691,Konig Harald,Fruhwald Katja,SRVL,27 DNC*,27 DNC,27 DNC,21,21,96,23
GER,7219,Bauer Reimund,Hofmann Ailyn,OSG,27 DNC*,27 DNF,27 DNC,27 DNC,22,103,24
GER,8999,Stompel Karsten,,HSC,27 DNC*,27 DNC,27 DNC,27 DNC,27 DNC,108,TBD
GER,8317,Burger Christina,,ZSK,27 DNC*,27 DNC,27 DNC,27 DNC,27 DNC,108,TBD
