,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,9057,Kai Bertallot,Jan Reifferscheidt,FSC,5,1,1,4,,1
GER,9054,Boris Herrmann,Oliver Thies,ZSK,9,2,2,1,,2
GER,9121,Tim Böger,Markus Schöner,HSC,1,3,6,9,,3
GER,8903,Steve Kwee,Thorsten Spötter,HSC,7,8,9,6,,4
GER,8929,Paul Meyer,Rolf Meyer,SCED,1,5,OCS,3,,5
GER,8519,Thure Gnadberg,Aron Tellen,BSV,3,4,OCS,5,,6
GER,9030,Andreas Jungclaus,Thomas Tschentscher,HSC,12,13,4,11,,7
GER,8619,Matthias Dachs,Jörn Alberts,HSC,8,14,11,7,,8
GER,8370,Schwilp Ki Ole,Felix Graff,ZSK,13,10,7,15,,9
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,4,7,OCS,13,,10
GER,8385,Torsten Simon,Alexander Neddermeier,PYC,11,15,12,8,,11
GER,8966,Walter Steding,Hans-Werner Steding,HSC,14,12,10,12,,12
GER,9054,Anika Wollenbecker,C. Wollenbecker,YCBG,6,9,OCS,13,,13
GER,8686,Karsten Stümpel,Markus Hintz,HSC,10,6,13,BFD,,14
GER,8915,Davina Schlesiger,Marvin Schlesiger,MSC,17,11,8,16,,15
GER,9020,Jörn Wille,Martin Bergmann,MSC,DNC,DNC,3,2,,16
GER,8988,Georg Mittermayer,Dirk Barteldt,LYC,15,18,14,10,,17
DEN,8828,Fabiola Wonterghem,Michael Wonterghem,SoSe,BFD,16,5,BFD,,18
NED,8287,B. Kalf,Mark Kalf,WV Br,16,19,15,BFD,,19
GER,8772,Julia Ohling,Juliane Zerbst,,19,17,16,DNC,,20
GER,2295,Lars Schmietenknop,Lina Herzig,SVO,18,DNF,DNC,17,,21
