,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Punkte,Platz
GER,9062,Jens Olbrysch,Oliver Thies,HSC,1,1,,2,1
GER,9090,Christian Kellner,Sebastian Salein,HSC,3,2,,5,2
GER,8928,Stephan Schweiger,Thorsten Koch,SCLW,2,4,,6,3
GER,8702,Martin Handel,Volker Böhringer,SGK,7,3,,10,4
GER,8849,Pedro Bohnenberger,Peter Wolffram,SCIA,4,7,,11,5
GER,8672,Thoralf Greger,Guido von Walter,ASVG,6,6,,12,6
GER,8598,Christina Höll,Anna Höll,HSC,8,5,,13,7
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,5,9,,14,8
GER,9114,Mats Westholm,Hervé Douhet,SCLW,10,8,,18,9
GER,8458,Anika Wollenbecker,C. Wollenbecker,YCBG,9,1,,10,10
GER,8621,Thomas Grimm,Alexander Wechsler,MTVD,11,11,,22,11
