Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
GER,9112,Bogacki Morten,Dehne Lars,DYC ZSK,1,1,1,1,1,2,1,[24 DNS],8,1
GER,8806,Stengel Lutz,Feller Frank,ROYC ROYC,2,2,[24 DNF],2,2,1,2,1,12,2
GER,9035,Roos Ronald,Roos Morten,SVWU SVWU,3,[4],3,3,3,3,3,2,20,3
GER,9040,Dasenbrook Norbert,Meier Sven,KSW SKBUE,[4],3,2,4,4,4,4,3,24,4
GER,9046,Friederichs Hartwig,Menge Katharina,WSCW WSCW,[5],5,4,5,5,5,5,4,33,5
GER,8686,Rentelmann Hans-Jürgen,Hintz Markus,BSC HSC,9,7,[24 DNS],8,6,7,9,6,52,6
GER,8458,Kébreau Anika,Wollenbecker Raik,YCBG YCBTF,8,9,9,6,[16],8,10,5,55,7
GER,8988,Mittermayer Georg,Barteldt Dirk,SCLL SCVP,7,11,6,11,[12],12,8,7,62,8
GER,9000,Bernauer Martin,Wilts Enno,OSG OSG,17,6,11,10,9,10,[24 DNF],8,71,9
GER,8721,Czeninga Daniel,Lietz Martin,SVUK FSV03E.V.,11,10,7,[13],10,13,11,9,71,10
GBR,9006,Rehberg Welf,Gröger Benjamin,VBS SCW,12,13,8,[16],13,11,12,11,80,11
GER,8654,Müller Philipp,Malte Eilenstein,SGAM SGAM,16,12,[24 DNF],14,11,9,13,10,85,12
GER,8750,Konrad Otto,Kay Raum,SG SEEBURG SG SEEBURG,10,14,10,12,14,[24 DNF],15,24 DNF,99,13
GER,8550,Hauschild Martha,Heyder Michael,SCS SCF 1891,6,8,5,9,[24 DNS],24 DNC,24 DNC,24 DNC,100,14
GER,8947,Schneidewind Ralf,Schürmann Oliver,SLRV WYCA,[24 DNF],24 DNF,24 DNS,15,7,6,6,24 DNF,106,15
GER,8999,Söllner Sophie,Karsten Stümpel,CYC HSC,15,[24 DNF],24 DNS,7,8,24 DNF,7,24 DNS,109,16
GER,8932,Henge Christian,Henge Katja,WSCW WSCW,[24 DNC],24 DNF,24 DNC,17,15,14,14,12,120,17
GER,8493,Pösch Thorsten,Baumann Michael,SCSZ SCSZ,14,15,[24 DNF],19,24 DNS,15,16,24 DNS,127,18
GER,8664,Paulke Jeremias,Paulke Markus,BG017 BG017,[24 DNS],24 DNF,24 DNS,18,17,16,24 DNC,24 DNC,147,19
GER,8531,Hauschild Anna,Kempermann Maximiliane,SCS SLRV,13,[24 DNF],24 DNS,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,157,20
GER,8634,Alena-Larissa Wilkens,Hofmann Ailyn,HSC HSC,[24 DNC],24 DNF,24 DNC,24 DNC,24 DNC,24 DNC,17,24 DNC,161,21
GER,8962,Pia Matscheroth-Brodwurm,,SCAS ETUF,[24 DNC],24 DNF,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,168,22
DEN,9109,Genefke Hans,Angelo Finn,HS BSK,[24 DNF],24 DNF,24 DNF,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,168,22
