,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,9054,Anika Wollenbecker,C. Wollenbecker,YCBG,1,4,1,2,2,,1
GER,8531,Anna Hauschild,Frederik Tasche,SCS,3,2,2,1,4,,2
GER,8519,Thure Gnadberg,Aron Tellen,BSV,2,3,3,5,1,,3
GER,9000,Martin Bernauer,Enno Wilts,CNFT,4,1,4,3,3,,4
GER,8750,Konrad Otto,Florian Ader,SGS,5,6,6,4,5,,5
GER,8550,Martha Hauschild,Axel Priegann,SCS,6,5,6,6,6,,6
GER,8721,Daniel Czeninga,Martin Lietz,FSV 03 eV,7,7,7,7,9,,7
GER,7600,Richard Elsner,Benjamin Seibt,SLRV,8,8,8,8,10,,8
GER,8493,Thorsten Pösch,Michael Baumann,SGSZ,9,10,10,9,7,,9
GER,7946,Helfried Haupt,Uwe Morgenstern,,DNC 11,9,9,10,8,,10
