Sail Number,Team,,Club,R1,R2,R3,R4,R5,R6,R7,R8,T,N,Nr
GER 9071,Dr Wolfgang Hunger,Wolfgang Dr Hunger,PYC,1,1,1,2,2,(43) DNC,1,4,55,12,1
GER 9112,Morten Bogacki,Lars Dehne,DYC,3,3,3,1,3,1,-20,3,37,17,2
GER 9129,Hasso Plattner,Peter Alarie,KYC,4,2,2,3,1,-6,3,2,23,17,3
GER 9090,Christian Kellner,Martin Schöler,HSC,2,5,4,4,4,3,-15,9,46,31,4
GER 9131,Meike Schomäker,Holger Jess,ZSK,6,4,5,7,7,-9,8,1,47,38,5
GER 8875,Jens Findel,Andreas Achterberg,KYC,5,6,7,9,11,7,6,-18,69,51,6
GER 9135,Stefan Böhm,Gerald Roos,SCV,8,8,6,10,5,5,-26,21,89,63,7
GER 8992,Claas Lehmann,Leon Oehme,BSC,-20,7,9,14,14,12,4,6,86,66,8
DEN 9128,Nikolaj Hoffmann Buhl,Henrik Buhl,Hellerup Sejlklub,14,9,10,6,13,4,-19,13,88,69,9
GER 9133,Frieder Achterberg,Wolfgang Stückl,DTYC,13,11,8,13,8,8,-31,12,104,73,10
GER 9062,Jens Olbrysch,Oliver Thies,HSC,9,12,16,11,-18,13,2,15,96,78,11
AUS 8901,Peter Nicholas,Luke Payne,RFBYC,7,(43) DNC,43 DNC,5,6,2,11,5,122,79,12
GER 8929,Leonie Meyer,Rolf Meyer,NRV,17,14,13,8,9,11,16,-23,111,88,13
GER 9057,Jan Lürkens,Jan Reifferscheidt,SCE,10,(43) DNC,11,12,12,10,27,14,139,96,14
GER 9122,Benedikt Northoff,Roos Morten,BYC,19,13,14,15,21,(43) DNC,10,7,142,99,15
GER 9101,Stefan Giesler,Frank Böhm,VSAW,11,15,15,19,10,(43) DNC,22,10,145,102,16
GER 8940,Martin Kittsteiner,Oliver Stieglitz,HSC,18,16,17,-20,19,16,9,19,134,114,17
GER 8956,Bernd Rasenack,Stefan Brückner,ZSK,23,22,18,18,15,14,7,-31,148,117,18
GER 9046,Hartwig Friedrichs,Michael Heyder,,16,20,25,24,20,(43) DNC,5,17,170,127,19
FIN 8768,Jukka Nieminen,Antti Salonen,SP,21,21,21,22,-26,15,13,26,165,139,20
GER 8519,Thure Gnadeberg,Aron Tellen,BSV,(43) DNC,23,22,21,24,17,25,11,186,143,21
GER 9127,Ulf Pleßmann,Hans-Heinrich Rix,AYC,12,10,12,16,(43) DNC,43 DNC,43 DSQ,8,187,144,22
GER 9011,Micki Daisenberger,Tobi Bolduan,DTYC,15,17,19,17,(43) DNC,43 DNC,21,16,191,148,23
GER 8807,Weiß Maxi,Phil Blinn,DTYC,22,24,29,26,17,(43) DNC,18,22,201,158,24
GER 9040,Nørbert Dasenbrook,Sven Meier,SKBUe,31,18,20,(43) DNC,16,43 DNC,17,20,208,165,25
GER 9035,Ronald Roos,Kirsten Roos,SVWU,25,25,27,27,25,18,-28,25,200,172,26
GER 8480,Marc Köster,Thorben Köster,BSV-AT,29,-30,26,30,22,19,23,28,207,177,27
RSA 9026,Tina Plattner,Mike Martin,RCYC,24,28,31,23,29,21,24,-32,212,180,28
GER 9043,Nicola Birkner,Angela Stenger,VSAW,28,27,23,29,(43) DNC,43 DNC,12,24,229,186,29
GER 8825,Michael Troch,Birgit Hartmann,SGJ,32,29,28,34,27,(43) DNC,14,27,234,191,30
GER 8437,Davina Schlesiger,Marvin Schlesiger,MSC,34,26,30,33,28,23,-36,34,244,208,31
GER 8947,Ralf Schneidewind,Oliver Schürmann,SLRV,27,31,(43) DNC,28,31,22,35,36,253,210,32
GER 9054,Anika Kébreau,Raik Wollenbecker,YCBG,37,(43) DNC,43 DNC,25,32,25,32,29,266,223,33
GER 9000,Martin Bernauer,Enno Wilts,OSG,(43) DNC,43 DNC,43 DNC,37,23,20,29,30,268,225,34
GER 8999,Katharina Menge,Karsten Stümpel,OSG,35,32,32,35,33,(43) DNC,34,38,282,239,35
GER 9113,Julian Stückl,Basti Henning,DTYC,26,19,24,(43) DNC,43 DNC,43 DNC,43 DNC,43 DNC,284,241,36
GER 8721,Daniel Czeninga,Martin Lietz,SVUK,(43) DNC,43 DNC,43 DNC,32,30,24,33,37,285,242,37
GER 8988,Georg Mittermayer,Dirk Barteldt,SCLL,33,33,(43) DNC,31,43 DNC,43 DNC,37,35,298,255,38
AUS 9028,Earle Alexander,Dirk Luebbers,Darling Point SS,30,(43) DNC,43 DNC,36,43 DNC,43 DNC,30,33,301,258,39
GER 8531,Anna Hauschild,Maximiliane Kempermann,SCS,36,34,33,(43) DNC,43 DNC,43 DNC,43 DNC,43 DNC,318,275,40
GER 8634,Ailyn Hofmann,Florian Brix,HSC,(43) DNC,43 DNC,43 DNC,43 DNC,43 DNC,43 DNC,38,39,335,292,41
GER 8691,Harald König,Katja Frühwald-König,SRVL-S,(43) DNC,43 DNC,43 DNC,43 DNC,43 DNC,43 DNC,43 DNC,43 DNC,344,301,42
