Nr na żaglu,Team,,Klub,R1,R2,R3,R,N,Nr
GER 9131,Meike Schomäker,Holger Jess,ZSK,6,1,1,8,8,1
DEN 9121,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup,1,7,3,11,11,2
GER 8669,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,2,6,4,12,12,3
GER 9071,Dr Wolfgang Hunger,Wolfgang Dr Hunger,PYC,3,2,11,16,16,4
DEN 9128,Nikolaj Hoffmann Buhl,Henrik Buhl,Hellerup Sejlklub,7,5,7,19,19,5
GER 9127,Hans-Heinrich Rix,Steffen Achenbach,TSVS,12,3,5,20,20,6
GER 9070,Stefan Köchlin,Andreas Achterberg,SVS,5,4,16,25,25,7
DEN 9118,Jan Saugmann,Jakob Karbo,,10,14,2,26,26,8
GER 9101,Stefan Giesler,Frank Böhm,VSAW,8,11,13,32,32,9
GER 9035,Ronald Roos,Morten Roos,SVWU,14,15,6,35,35,10
GER 9122,Benedikt Northoff,Kilian Northoff,BYC,16,8,14,38,38,11
FRA 9076,Xavier Broise,Nicolas Des Jamonieres,SNPH,21,13,9,43,43,12
GER 8929,Leonie Meyer,Rolf Meyer,NRV,9,19,18,46,46,13
GER 8903,Steve Kwee,Thorsten Spötter,HSC,17,17,12,46,46,14
DEN 8440,Jonas Christiansen,Mads Christiansen,Hellerup Sejlklub,11,18,19,48,48,15
GER 8875,Jens Findel,Johannes Tellen,KYC,4,12,37 DNC,53,53,16
GER 9020,Joern Wille,Martin Bergmann,SVAOE,18,27,10,55,55,17
FIN 9069,Jari Hamström,Tuomas Laurila,KuoPS,13,9,37 DNC,59,59,18
GER 9057,Jan Lürkens,Jan Reifferscheidt,SCE,15,10,37 BFD,62,62,19
GER 8775,Jan Sell,,SVWS,26,16,20,62,62,20
GER 8874,Henning Steffen,Tilman Giesen,SLRV,28,21,15,64,64,21
GER 8947,Ralf Schneidewind,Oliver Schürmann,SLRV,27,20,17,64,64,22
GER 8927,Kaj Lindfors,Johan Halonen,ASS,37 DNC,22,8,67,67,23
AUS 9028,Earle Alexander,Arne Lanatowitz,Darling Point SS,19,23,26,68,68,24
DEN 8828,Fabiola Wonterghem,Michael Wonterghem,Sorø Sejlforening,20,25,24,69,69,25
GER 8519,Thure Gnadeberg,Aron Tellen,BSV,24,26,21,71,71,26
GER 9000,Stefan Schmidt,Enno Wilts,SVSS,23,28,22,73,73,27
GER 8843,Olivier Kraft,Frank Heimburger,SSCM,25,24,37 DNC,86,86,28
GER 8317,Christina Burger,Hartwig Friederichs,ZSK,30,37 DNC,23,90,90,29
GER 8988,Georg Mittermayer,Dirk Barteldt,SCLL,29,29,37 BFD,95,95,30
GER 7219,Reimund Bauer,Ailyn Hofmann,OSG,22,37 DNC,37 DNC,96,96,31
GER 8500,Katharina Menge,Jens Kühne,OSG,37 DNC,37 DNC,25,99,99,32
GER 8654,Philipp Müller,Malte Eilenstein,SGAM,37 DNC,37 DNC,37 DNC,111,111,33
GER 8720,Lennart Tasche,Frederik Tasche,WSVG 09,37 DNC,37 DNC,37 DNC,111,111,33
GER 8721,Daniel Czeninga,Martin Lietz,SVUK,37 DNC,37 DNC,37 DNC,111,111,33
GER 8999,Karsten Stümpel,Andreas Schlüter,HSC,37 DNC,37 DNC,37 DNC,111,111,33
