,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,sum,points,Platz
GER,8875,Jens Findel,Johannes Tellen,KYC,1,1,1,1,[DNC 18],22,4,1
GER,8956,Bernd Rasenack,Felix Brockerhoff,ZSK,2,[3],2,2,1,10,7,2
GER,8519,Thure Gnadberg,Aron Tellen,BSV,3,[5],4,4,4,20,15,3
GER,8741,Jürgen Anton,Ulf Denecke,HSC,6,[7],5,3,2,23,16,4
GER,8712,Peter Gerdts,Christian Labenz,HSC,5,4,[7],5,3,24,17,5
GER,8480,Marc Köster,Kai Homes,BSV-AT,4,2,6,[DNC 18],7,37,19,6
GER,9046,Hartwig Friedrichs,Max Neubert,WSCW,[12],6,3,7,5,33,21,7
GER,8901,Andre Tirre,Frank Wille,YCS,7,[13],9,6,6,41,28,8
GER,8392,Katharina Menge,Georg Mittermayer,OSG,8,12,[15],9,11,55,40,9
GER,8694,Frank Beier,Hubertus Ritter,SCLM,9,10,11,10,[DNC 18],58,40,10
GER,8370,Felix Graff,Stephan Graff,SLRV,13,8,[14],11,10,56,42,11
GER,8317,Christina Burger,Michael Köritz,SVO,11,11,[12],12,8,54,42,12
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,10,9,8,[DNC 18],DNC 18,63,45,13
GER,2293,Lars Schmietenknop,Ralf Bünte,SVO,16,16,13,8,[DNC 18],71,53,14
GER,8469,Hansjörg Ehlers,Thomas Afken,ZSK,15,[DNF 18],DNC 18,13,9,73,55,15
GER,8505,Peter Wichtrap,Mario Tirre,,[DNF 18],14,10,14,DNC 18,74,56,16
GER,8989,Klaus Brinkbäumer,Alena-Larissa Wilkens,HSC,14,15,16,[DNC 18],DNC 18,81,63,17
