,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,T,Poinsts,Platz
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,1,1,[2],1,5,3,1
GER,8519,Thure Gnadberg,Aron Tellen,BSV,[4],2,4,2,12,8,2
GER,8903,Steve Kwee,Thorsten Spötter,HSC,[5],4,1,3,13,8,3
GER,8999,Sophie Söllner,Karsten Stümpel,CYC,[7],6,5,4,22,15,4
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW,2,3,[OCS 14],5,24,10,5
GER,8480,Marc Köster,Thorben Köster,BSV-AT,3,5,3,[DNC 14],25,11,6
GER,8437,Davina Schlesiger,Marvin Schlesiger,MSC,6,[10],6,7,29,19,7
GER,8376,Wilfried Hube,Thomas Afken,ZSK,[8],8,7,6,29,21,8
GER,8901,Andre Tirre,Frank Wille,YCS,[10],7,8,8,33,23,9
GER,9057,Peter Kruse,Arne Wittemer,SCH,[9],8,9,9,35,26,10
GER,9000,Katharina Menge,Enno Wilts,OSG,11,[12],11,10,44,32,11
GER,8370,Felix Graff,Stephan Graff,SLRV,[12],11,10,11,44,32,12
GER,8505,Peter Wichtrap,Mario Tirre,,[13],13,12,12,50,37,13
