,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,9090,Christian Kellner,Johannes Tellen,HSC,1,1,1,1,,,1
GER,9133,Frieder Achterberg,Wolfgang Stückl,DTYC,4,3,2,3,,,2
GER,9043,Nicola Birkner,Angela Stenger,SVaW,2,4,5,2,,,3
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,6,2,4,4,,,4
GER,8928,Stephan Schweiger,Thorsten Koch,SCLW,5,5,3,5,,,5
GER,9113,Sophie Söllner,Karsten Stümpel,CYC,3,6,6,6,,,6
GER,8702,Martin Handel,Volker Böhringer,SGK,7,7,7,7,,,7
GER,9114,Mats Westholm,Pedro Bohnenberger,SCLW,11,8,8,8,,,8
GER,8658,Christina Höll,Alexander Wilhelm,HSC,10,12,9,9,,,9
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,9,10,13,11,,,10
GER,8843,Oliver Kraft,Frank Heimburger,SSCM,12,11,10,10,,,11
GER,8672,Achim Funk,Guido von Walter,SCLW,8,13,12,12,,,12
GER,9070,Andreas Achterberg,Verena Achterberg,BYC,15,9,11,13,,,13
GER,8473,Christoph Bökle,Michael Marker,SSCM,14,15,14,14,,,14
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,17,16,15,16,,,15
GER,8712,Stefan Krumm,Uwe Krumm,SSCM,19,17,16,15,,,16
GER,8621,Tim Wechsler,Max Ulreich,MTVD,13,19,17,DNF,,,17
GER,8642,Christina Friedrich,Thoralf Greger,DHH-RG,16,14,DNC,1,,,18
GER,8691,Harald König,Michael Müller,SHVL,18,18,DNF,17,,,19
