,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,9112,Morten Bogacki,Christian Meier-Kothe,DYC,1,1,1,1,,,1
GER,9130,Andreas Jungclaus,Thomas Tschentscher,HSC,2,5,3,2,,,2
GER,8929,Jan Reifferscheidt,Kai Bertallot,KYC,6,2,2,4,,,3
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,5,4,5,3,,,4
GER,8903,Steve Kwee,Thorsten Spötter,HSC,9,3,11,5,,,5
GER,8370,Felix Graff,Stephan Graff,SLRV,10,7,8,7,,,6
GER,8686,Melli Kohlhoff-Hortn,Markus Hintz,,3,OCS,4,DNC,,,7
GER,9020,Jörn Wille,Martin Bergmann,MSC,4,OCS,7,DNC,,,8
GER,8989,Klaus Brinkbäumer,Max Rauner,HSC,11,10,14,6,,,9
GER,8619,Matthias Dachs,Jörn Alberts,HSC,8,8,10,DNC,,,10
GER,9151,Walter Steding,Hans-Werner Steding,HSC,7,OCS,6,DNC,,,11
GER,9021,Jens Biederer,Hendrik Annighöfer,HSC,14,6,9,DNC,,,12
GER,8630,Lars Lankenau,Anna Schipler,SFHS,12,9,12,DNC,,,13
GER,8470,Robert Neumann,Thorsten Koch,MSC,13,11,13,DNC,,,14
