,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,2,OCS,1,1,,,1
GER,9090,Christian Kellner,Angela Stenger,HSC,OCS,1,2,4,,,2
GER,8928,Stephan Schweiger,Thorsten Koch,SCLW,6,2,3,2,,,3
GER,8861,Wolfgang Seifert,Ivonne Seifert,SCLW,1,3,6,5,,,4
GER,8702,Martin Handel,Volker Böhringer,SGK,3,4,4,3,,,5
GER,9114,Mats Westholm,Pedro Bohnenberger,SCLW,4,DNC,5,6,,,6
GER,8530,Alexander von Mertens,Sebastian Dörr,StSC,5,5,7,11,,,7
GER,8658,Christina Höll,Alexander Wilhelm,HSC,8,9,9,7,,,8
GER,8697,Wilfried Stuis,Thorge Holm,YCN,7,10,8,12,,,9
GER,8672,Dirk Hütten,Guido von Walter,,10,7,12,9,,,10
GER,8807,Jonas Vogt,Joshua Weber,SvW,OCS,6,13,8,,,11
GER,8998,Ingo Schneider,Jochen Heydolph,SCLW,9,8,10,10,,,12
GER,8990,Ralf Breitenfeldt,Thore von Puttkammer,HSC,11,11,11,13,,,13
