,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,Platz
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,1,1,1,1,DNC,,,1
GER,9021,Jens Biederer,Hendrik Annighöfer,HSC,3,4,3,2,2,,,2
GER,8317,Christina Burger,Hartwig Friedrichs,SVO,10,3,2,5,1,,,3
GER,8901,Andre Tirre,Frank Wille,YCS,2,2,4,7,3,,,4
GER,8849,Henrik Schade,Lars Schmietenknop,WVW,4,5,7,3,4,,,5
GER,8988,Katharina Menge,Georg Mittermayer,OSG,5,7,5,8,5,,,6
GER,8505,Peter Wichtrap,Mario Tirre,,7,6,6,6,8,,,7
GER,8519,Aron Tellen,Michael Bertram,OSG,8,9,9,4,6,,,8
GER,8259,Sven Henze,Konstatin Welp,,6,8,8,9,7,,,9
GER,8691,Harald König,Katja Frühwald,SHVL,9,10,10,DNC,DNC,,,10
