,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,Platz
GER,9131,Wolfgang Hunger,Holger Jess,PYC,1,1,DNF,1,3,1,,,1
GER,9121,Jens Olbrysch,Oliver Thies,HSC,3,6,3,2,1,4,,,2
GER,8992,Lutz Stengel,Frank Feller,ROYC,5,3,1,3,2,5,,,3
GER,8519,Thure Gnadberg,Aron Tellen,BSV,2,4,2,4,5,2,,,4
GER,9112,Morten Bogacki,Lars Dehne,DYC,4,5,4,5,4,3,,,5
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,6,2,7,6,6,6,,,6
GER,9130,Andreas Jungclaus,Thomas Tschentscher,HSC,7,10,5,7,8,8,,,7
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,18,9,6,8,13,7,,,8
GER,9021,Jens Biederer,Hendrik Annighöfer,HSC,8,8,8,13,10,14,,,9
GER,8874,Torsten Simon,Alexander Neddermeier,PYC,11,11,9,10,7,12,,,10
GER,8750,Peter Kruse,Arne Wittemer,SCH,9,17,10,9,14,13,,,11
GER,9077,Carsten Hehl,Christian Bühring-Uhle,NRV,10,15,12,12,11,18,,,12
GER,8463,Antje Schneidewind,Viktoria Warminski,SGAM,20,7,11,15,12,DNF,,,13
GER,8988,Georg Mittermayer,Dirk Barteldt,LYC,13,14,18,17,19,9,,,14
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,16,18,13,11,15,DNF,,,15
GER,9054,Wilhelm Wollenbecker,Raik Wollenbecker,YB,19,19,15,14,17,10,,,16
GER,8458,Robert Bautz,Sascha Spors,ASVR,14,12,16,19,18,DNF,,,17
GER,8989,Klaus Brinkbäumer,Max Rauner,HSC,15,16,19,16,20,15,,,18
GER,9148,Jan Stremlow,Max Kroehn,RSVM,21,21,17,20,22,16,,,19
GER,8531,Anna Hauschild,Katharina Menge,SCS,17,20,DNF,DNF,16,17,,,20
GER,7938,Herrmann Heide,Anja Wolf,SSV,DNF,13,14,18,DNF,DNF,,,21
GER,8654,Dirk Lübbers,Kai Schramme,OSG,22,22,20,21,21,19,,,22
GER,8903,Steve Kwee,Thorsten Spötter,HSC,DNF,DNC,DNC,DNF,9,11,,,23
GER,9141,Konrad Otto,Martin Lietz,SGS,12,DNF,DNF,DNF,DNF,DNF,,,24
