Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
GER,9062,Jens Olbrysch,Oliver Thies,HSC HA004,3,1,-4,2,1,7,1
GER,9029,Hannes Wagner,Hannes Peckolt,,2,4,1,1,-6,8,2
GER,8806,Lutz Stengel,Frank Feller,ROYC MV003,1,6,-9,4,5,16,3
GER,8519,Thure Gnadeberg,Aron Tellen,BSV N040,6,-9,2,7,2,17,4
GER,8720,Lennart Tasche,Frederik Tasche,WSVG NW269 2,4,2,7,-12,4,17,5
GER,8972,Timon Treichel,Morten Roos,DYc NWOO,7,3,8,-15,3,21,6
GER,8741,Juergen Anton,Ulf Denecke,HSC HA004,-15,5,6,8,9,28,7
DEN,8828,Fabiola Wonterghem,Michael Wonterghem,DKSO,5,8,11,-14,7,31,8
BEL,9066,Peter Gerdts,Christian Labenz,SVWU NW13,9,10,-13,3,13,35,9
GER,8947,Ralf Schneidewind,Oliver Schormann,SLRV B136,10,-12,3,10,12,35,10
GER,8903,Steve Kwee,Thorsten Spotter,HSC HA004,-14,7,5,11,14,37,11
GER,8874,Henning Steffen,Dietrich Kirchner,RSVW,-17,11,10,5,16,42,12
GER,9046,Hartwig Friederichs,Georg Mittermayer,WSCW SH081,11,14,(OCS),6,11,42,13
GER,8915,Davina Schlesiger,Marvin Schlesiger,MSC HA033,-16,13,15,13,8,49,14
GER,8550,Martha Hauschild,Michael Heyder,SCS B106,12,-17,12,17,10,51,15
GER,8964,Iris Anton,Stefan Schmidt,HSC HA004,(DSQ),15,14,16,15,60,16
GER,8531,Anna Hauschild,Katharina Menge,SCS B106,13,-18,18,18,17,66,17
GER,8463,Antje Schneidewind,Viktoria Warminski,SGAM B110,(DNF),DNF,16,9,18,67,18
GER,8721,Martin Bernauer,Martin Lietz,CNFt B123,8,16,(DNF),DNF,DNF,72,19
GER,8654,Dirk Lubbers,Friederike Lemp,SLRV,18,20,17,20,-21,75,20
GER,8630,Lars Lankenau,Anna Dorothea Schipler,SFHS HA067,19,-21,19,19,19,76,21
GER,8730,Andreas Dillmann,Thomas Wasilewski,HSC HA004,20,19,20,-21,20,79,22
GER,8691,Harald Konig,Katja Frahwald-Konig,SRVL- BW15,(DNF),22,21,DNF,DNC,91,23
