,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,Platz
GER,9090,Christian Kellner,Johannes Tellen,HSC,1,1,1,1,3,,,1
GER,9043,Nicola Birkner,Angela Stenger,SVaW,3,4,4,3,1,,,2
GER,9139,Moritz Bohnenberger,Dirk Penno,DTYC,5,2,2,2,5,,,3
GER,8672,Karsten Contag,Guido von Walter,SCLW,2,6,6,5,2,,,4
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,4,3,5,4,4,,,5
GER,8702,Martin Handel,Volker Böhringer,SGK,9,8,3,6,9,,,6
GER,8862,Robert Wisolek,C. Pirker,SCLW,6,5,8,10,10,,,7
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,7,7,10,7,11,,,8
GER,9070,Andreas Achterberg,Julia Achterberg,BYC,13,12,7,9,6,,,9
GER,877,Thoralf Greger,Pedro Bohnenberger,ASVG,8,16,11,8,8,,,10
GER,8579,Peter Wackerbauer,Klaudia Opitz,RSB,12,11,9,OCS,7,,,11
GER,8777,Christina Höll,Francisco Sanguino,HSC,10,13,12,11,12,,,12
GER,8861,Fabian Martyson,Wolfgang Seifert,SGR,11,10,13,13,DNC,,,13
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,15,14,15,12,14,,,14
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,16,15,14,14,13,,,15
GER,8693,Achim Funk,Frank Rupprich,SCLW,14,9,DNC,DNC,DNC,,,16
GER,8482,Jürgen Geiger,Berthold Geiger,,DNF,17,16,15,15,,,17
