Nation,SEGELNR,Helm,Crew,CLUB,PL.(1.Wf),PL.(2.Wf),PL.(3.Wf),PL.(4.Wf),PL.(5.Wf),CLUB-NR,G-PKTE,G-PL
GER,8956,Bernd Rasenack,Stefan Brueckner,"ZSK,ZSK",2,1,1,2,[10],"N039,N039","6,00",1
GER,8550,Martha Hauschild,Michael Heyder,"SCS,SCF 1981",1,3,[12],3,5,"B106,B118","12,00",2
GER,8720,Lennart Tasche,Frederik Tasche,"WSVG09,WSVG09",[10],5,2,5,1,"NW262,NW262","13,00",3
GER,8903,Kwee Steve,Thorsten Spoetter,"HSC,HSC",7,4,3,[10],2,"HA004,HA004","16,00",4
GER,9102,Walter Steding,Hans-Werner Steding,HSC,6,2,6,[8],4,HA004,"18,00",5
GER,9021,Jens Biederer,Hendrik Annighoefer,"HSC,HSC",[11],6,7,1,7,"HA004,HA004","21,00",6
GER,9030,Andreas Jungclaus,Jan Reifferscheidt,"HSC,KYC",4,[11],5,4,9,"HA004,SH017","22,00",7
GER,9071,Tim Boeger,Markus Schoener,"HSC,HSC",[9],7,4,9,6,"HA004,HA004","26,00",8
GER,8964,Iris Anton,Bruno Laudage,"HSC,HSC",3,8,8,[14],8,"HA004,HA004","27,00",9
GER,9062,Oliver Thies,Andreas Dillmann,"HSC,HSC",8,10,10,[11],3,"HA004,HA004","31,00",10
GER,8619,Matthias Dachs,Joern Alberts,"HSC,HSC",[18],9,13,6,12,"HA004,HA004","40,00",11
GER,8686,Markus Hintz,Karsten Stuempel,"HSC,HSC",13,[15],9,7,13,"HA004,HA004","42,00",12
GER,9144,Juergen Anton,Ulf Denecke,"HSC,HSC",5,12,15,12,[BFD],"HA004,HA004","44,00",13
GER,8531,Anna Hauschild,Katharina Menge,"SCS,OSG",12,[16],14,15,14,"B106,HA080","55,00",14
GER,8989,Klaus Brinkbaeumer,Max Rauner,"HSC,HSC",[17],17,16,13,15,"HA004,HA004","61,00",15
GER,8940,Dasenbrook Norbert,Oliver Stieglitz,"KSW,HSC",15,13,11,[DNF],DNS,"N019,HA004","64,00",16
GER,8630,Lars Lankenau,Anna Dorothea Schipler,"SFHS,SFHS",16,14,[18],18,16,"HA067,HA067","64,00",17
GER,8654,Dirk Luebbers,Alena Wilkens,"SLRV,HSC",19,18,17,[20],11,"N191,HA004","65,00",18
GER,8570,Leif Koch,Nick Brandt,NRV,[20],20,19,17,17,HA002,"73,00",19
GER,8433,Patrick Ziegelmüller,John Christiansen,"HSC,HSC",[21],21,20,16,18,"HA004,HA004","75,00",20
GER,8428,Christian Lempp,Elke-Maria Bentfeld,"HSC,OSG",14,19,22,[DNF],DNS,"HA004,HA080","80,00",21
GER,8691,Harald Koenig,Katja Koenig-Fruehwald,"SRVL-S,SRVL-S",[22],22,21,19,19,"BW151,BW151","81,00",22
GER,8915,Davina Schlesiger,Marvin Schlesiger,"MSC,MSC",[DNC],DNC,DNC,DNC,DNC,"HA033,HA033","100,00",23
GER,8522,Henning Oberbeck,Blessing Simon,HSC,[DNC],DNC,DNC,DNC,DNC,HA004,"100,00",23
