Country,Boot,Steuermann,Vorschoter,Club,,Platzierungen,,,Platz
GER,8327,Dirk Frank,Stefan Kempf,SCS,,,,,1
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,YCSb,,,,,2
GER,8415,Elmar Neugart,Markus Neugart,SZHB,,,,,3
GER,8691,Harald König,Katja Frühwald,SHVL,,,,,4
GER,8424,Claus-Michael Lehr,Christine Schaal-Lehr,SCNS,,,,,5
GER,8712,Uwe Krumm,Konstatin Welp,SSCM,,,,,6
GER,8279,Frank Walter,Ralf Zusel,SCNS,,,,,7
GER,8137,Sven Henze,Alexander von Mertens,,,,,,8
GER,7085,Gerhard Huppert,Werner Knerr,YCSb,,,,,9
GER,8229,Hannes Obermeyer,Karin Bischler,RKCW,,,,,10
GER,7778,Michael Meyer,Marc Meyer,YCSb,,,,,11
