,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Sum,Points,Platz
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,2,1,1,2,[10],16,6,1
GER,8550,Martha Hauschild,Michael Heyder,SCS,1,3,[12],3,5,24,12,2
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,[10],5,2,5,1,23,13,3
GER,8903,Steve Kwee,Thorsten Spötter,HSC,7,4,3,[10],2,26,16,4
GER,9102,Walter Steding,Hans-Werner Steding,HSC,6,2,6,[8],4,26,18,5
GER,9021,Jens Biederer,Hendrik Annighöfer,HSC,[11],6,7,1,7,32,21,6
GER,9030,Andreas Jungclaus,Jan Reifferscheidt,HSC,4,[11],5,4,9,33,22,7
GER,9121,Tim Böger,Markus Schöner,HSC,[9],7,4,9,6,35,26,8
GER,8964,Iris Anton,Bruno Laudage,HSC,3,8,8,[14],8,41,27,9
GER,8988,Oliver Thies,Andreas Dillmann,,8,10,10,[11],3,42,31,10
GER,8619,Matthias Dachs,Jörn Alberts,HSC,[18],9,13,6,12,58,40,11
GER,8686,Markus Hintz,Karsten Stümpel,HSC,13,[15],9,7,13,57,42,12
GER,9144,Jürgen Anton,Ulf Denecke,HSC,5,12,15,12,[BFD 23],67,44,13
GER,8531,Anna Hauschild,Katharina Menge,SCS,12,[16],14,15,14,71,55,14
GER,8989,Klaus Brinkbäumer,Max Rauner,HSC,[17],17,16,13,15,78,61,15
GER,8940,Norbert Dasenbrook,Oliver Stieglitz,KSW,15,13,11,[DNF 23],DNC 23,85,62,16
GER,8630,Lars Lankenau,Anna Schipler,SFHS,16,14,[18],18,16,82,64,17
GER,8654,Dirk Lübbers,Alena-Larissa Wilkens,OSG,19,18,17,[20],11,85,65,18
GER,8570,Leif Koch,Nick Brandt,NRV,[20],20,19,17,17,93,73,19
GER,8433,Patrick Ziegelmueller,John Christiansen,HSC,[21],21,20,16,18,96,75,20
GER,8428,Christian Lempp,Elke-Maria Bentfeld,HSC,14,19,22,[DNF 23],DNC 23,101,78,21
GER,8691,Harald König,Katja Frühwald,SHVL,[22],22,21,19,19,103,81,22
