,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,Platz
GER,8929,Kai Bertallot,Jan Reifferscheidt,FSC,5,2,1,1,3,1,,,1
GER,8806,Lutz Stengel,Frank Feller,ROYC,1,1,6,3,1,4,,,2
GER,8975,Alexander Holzapfel,Tobias Neumeyer,PSVK,4,3,5,2,4,3,,,3
GER,9113,Sophie Söllner,Karsten Stümpel,CYC,2,6,9,RET,2,2,,,4
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW,7,4,13,4,5,5,,,5
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,3,13,7,RET,11,6,,,6
GER,9006,Michael Rehberg,Stefan Rausch,VBS,8,5,14,RET,6,7,,,7
GER,9066,Peter Gerdts,Christian Labenz,HSC,13,9,11,RET,7,8,,,8
GER,9141,Konrad Otto,Martin Lietz,SGS,17,8,4,RET,13,9,,,9
GER,9057,Johannes Ganzer,Florian Ganzer,SVH,10,7,17,RET,8,11,,,10
GER,9021,Jens Biederer,John Christiansen,HSC,15,10,12,5,14,16,,,11
GER,8988,Georg Mittermayer,Dirk Barteldt,LYC,16,11,8,RET,12,15,,,12
GER,8463,Antje Schneidewind,Viktoria Warminski,SGAM,11,OCS,10,DNF,9,10,,,13
GER,9000,Martin Bernauer,Enno Wilts,CNFT,6,15,16,DNF,15,12,,,14
GER,8932,Christian Henge,Katja Henge,OSG,14,14,15,DNF,10,13,,,15
GER,9046,Christina Burger,Hartwig Friedrichs,SVO,9,12,3,DNF,DNC,DNC,,,16
GER,8531,Anna Hauschild,Katharina Menge,SCS,12,OCS,18,RET,16,14,,,17
GER,8550,Martha Hauschild,Michael Heyder,SCS,DNC,17,2,DNF,DNC,DNC,,,18
GER,8664,Jeremias Paulke,Markus Paulke,BG017,19,18,19,DNF,17,17,,,19
GER,8654,Dirk Lübbers,Kai Schramme,OSG,20,19,20,DNF,18,18,,,20
GER,8630,Anna Schipler,Julian Güster,,18,16,21,DNF,19,DNF,,,21
