,Sail No.,Skipper,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,,Posn
RSA,8340,Willcox Graeme,Haylett Alan,,1,1,1,3*,1,4,1
RSA,7682,Willcox Rob,Hermann Ditmar,,2,12 DNS*,2,1,2,7,2
RSA,406*,Funke Peter,Funke Thomas,,12 DNS*,3,3,2,3,11,3
RSA,8584,Rogotzki Hans,Roos Pieter,,4,2,5,8*,7,18,4
RSA,8789,Murray Tony,Holtshauzen K,,3,4,12 OCS*,6,5,18,5
RSA,8121,Holm A,Ham W,,5*,5,4,5,4,18,6
RSA,584*,Klaas Kyle,Peers Robert,,6*,6,6,4,6,22,7
RSA,7722,Jamison K,Wegerif R,,7,12 DNS*,12 DNS,12 DNS,12 DNS,43,8
RSA,8406,Diettmar Holm,Shearar Rick,,12 DNF*,12 DNS,12 DNS,7,12 DNS,43,9
RSA,8615,Biagio M,Biagio I,,12 DNS*,12 DNS,12 DNS,9,12 DNS,45,10
RSA,4902,Gotherhank M,Adrian,,12 DNS*,12 DNS,12 DNS,12 DNS,12 DNS,48,DNA
