Nation,boat number,Skipper,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Position
CAN,8260,Shona Moss Lovshin,Steve Lovshin,,(4),3,4,2,2,3,1,1,15.5,1
CAN,8238,Francois Bertrand,Alain Molimard,,2,1,2,10,1,4,4,73,20.5,2
CAN,8443,Hugh Morrin,Michael Laughlin,,6,6,3,2,17,2,2,2,21.73,3
CAN,8264,Jeff Boyd,Danielle Boyd,,1,8,7,5,5,1,3,4,25.5,4
CAN,6910,John Bryant,Ron Hughes,,7,4,1,3,6,8,10,3,31.75,5
CAN,7796,Debbie Ashby,Dave Adams,,3,7,9,6,4,6,6,5,37,6
CAN,7798,Marg Hurley,William Penney,,5,5,6,8,17,5,5,9,43,7
CAN,8410,Clarissa Bush,Chris Gillies,,11,2,5,4,3,7,17,17,57,8
CAN,7612,Erica Vines,Penny Estabrooks,,8,9,8,9,9,11,8,6,57,9
CAN,5606,Brent Benniger,George Hajecek,,9,17,10,11,7,10,7,8,62,10
CAN,6802,Rob Braden,Phil Moorman,,10,12,13,13,17,9,9,11,77,11
CAN,714*,Doug Henessey,Mario Angers,,12,10,11,12,11,12,11,12,79,12
CAN,7790,Louis Desjardins,Benard Pero,,13,11,12,14,10,13,12,10,81,13
CAN,8233,Marie Gendron,Steve Quick,,17,17,14,7,8,17,17,17,91,14
CAN,8417,David Friberg, ,,17,17,17,17,17,17,17,17,119,15
CAN,7797,Jim Dingle,Graham Fndlay,,17,17,17,17,17,17,17,17,119,15
