Nation,Boat NO,Helmsman,Crew,,Race 1 Pos.,Race 2 Pos.,Race 3 Pos.,Race 4 Pos.,Race 5 Pos.,Race 6 Pos.,Total Points,Place
DEN,8030,Bo Petersen,Soren Storm,,1,1,1,1,1,,3.75,1
FRA,8132,Philipe Boite,J. L. Muzeilec,,5,2,9,4,2,,22,2
GBR,7852,Chris Haworth,Nigel Appleton,,9,4,7,7,3,11,30,3
GBR,8143,Philip Milanes,N. Brackenbury,,8,10,4,3,7,13,32,4
SWE,7922,Ebbe Rosen,011e Wenrup,,2,15,2,8,11,,38,5
GBR,8048,Chris Stodel,Colin Merrett,,7,5,20,2,9,40,43,6
GBR,8159,Clive Robinson,Mathew Flint,,20,8,15,12,19,1,55,7
GBR,8123,Peter White,Paul Young,,10,12,5,10,24,38,61,8
GBR,7919,Nigel Buckley,Tim Hancock,,22,6,25,6,4,,63,9
GBR,8120,Martin Jones,Jonathan Clark,,,9,33,9,10,4,65,10
GBR,8167,Graham Bailey,Bill Masterman,,27,16,8,13,28,3,67,11
GBR,7920,Paul Oakey,Paul Whitworth,,48,7,6,30,20,8,71,12
GBR,7840,Graham Thomas,M. Longstaff,,18,17,39,23,6,9,73,13
GBR,8160,Tim Fells,Mike Kyte,,4,20,24,15,13,,76,14
GBR,8001,Martin Spence,Jonathan Ward,,6,63,34,22,8,7,77,15
GBR,7910,Ian Walters,Pete Bishop,,11,22,29,,21,2,85,16
GBR,8051,Dave Peacock,Steve Peters,,36,3,17,32,18,20,90,17
GBR,8168,Ian Barker,John Ironmonger,,28,14,3,11,37,,93,18
GBR,8071,David White,Nigel Squirrell,,33,19,18,19,45,27,108,19
GBR,7881,Neil Thomas,D. Chisolm,,,25,11,14,50,10,110,20
GBR,8137,John Oswald,Charly Baynisp,,24,21,26,34,15,24,110,21
GBR,8055,Vernon Ralston,Doug Rivers,,15,13,21,21,47,41,111,22
FRA,8104,Marcel Buffet,Marc Bourdon,,16,26,18,,40,15,115,23
GBR,8074,Mark Lamy,Jan Talako,,41,,16,28,14,16,115,24
GBR,8129,Nick Martin,Rob Martin,,13,60,42,16,22,23,116,25
GBR,8126,Chris Dando,Jeremy White,,57,34,14,39,25,5,117,26
GBR,8139,David Booth,Peter Milburn,,3,33,38,27,,19,120,27
GBR,8049,Neil Willmott,Paul Willmott,,37,28,36,18,5,,124,28
GBR,8021,Rob Napier,Keith Summersgill,,31,53,22,20,12,47,132,29
GBR,8027,Michael Holt,Simon Rawlings,,32,64,35,26,29,14,136,30
GBR,7578,Adrian Miles,Neil Fulcher,,21,38,28,46,51,6,139,31
GBR,7565,Gary Langdown,Geoff Bettle,,25,18,40,29,30,,142,32
GBR,8024,Nigel Summers,Nigel Burt,,42,24,43,33,16,33,148,33
GBR,7720,Alex Bax,Miles Odell,,38,23,12,38,38,,149,34
GBR,7939,Robert Trickett,Dick Howl,,34,,23,31,27,35,150,35
GBR,8006,Richard Newnham,Tim Symons,,12,39,54,24,33,49,157,36
GBR,7735,Mark Upton-Brown,Martin Gotrel,,17,,57,37,17,31,159,37
GBR,8028,Richard Lord,R. Gillespie,,35,68,13,42,46,32,168,38
GBR,8119,Gary Lowney,Mike Payne,,49,70,44,17,34,26,170,39
GBR,8112,Adrian Gibbons,Philip Gibbons,,23,40,30,50,41,37,171,40
GBR,7621,Steve Cockerill,Gordon Kingston,,26,,45,49,43,18,181,41
GBR,7653,Ian Montague,Alan Montague,,30,50,32,40,52,30,182,42
GBR,8117,Judith French,Peter French,,59,51,37,45,39,22,194,43
GBR,8158,Tim O'Leary,Nigel Bultitude,,,77,48,36,23,12,196,44
GBR,7972,Nick Peters,Ian McGaw,,29,11,19,25,,,205,45
GBR,7265,Phil Brown,Debbie Brown,,,32,27,65,32,53,209,46
GBR,7664,Steve Cooper,Adrian Cooper,,45,45,60,52,48,21,211,47
GBR,7690,David Wansbrough,Guy Wansbrough,,54,44,31,51,35,,215,48
GBR,7770,Chris Thorne,David Thorne,,72,52,41,48,42,42,225,49
DEN,8144,Lars Bøjvad-Jansen,Martin Olsen,,,30,50,5,26,,232,50
GBR,8157,Jim Berry,Chris Rata,,61,66,52,47,44,28,232,51
GBR,7805,Stephen Carson,Steve Smith,,60,43,62,57,53,29,242,52
GBR,7767,Nick Rawlings,Paul Carpenter,,19,47,63,67,65,56,250,53
GBR,7995,Richard Oswald,Malcolm Foster,,14,69,,,31,17,252,54
GBR,8025,Roger Harrison,Alistair Morgan,,46,37,53,59,60,,255,55
GBR,7626,William Ingram,Ken Norris,,39,35,65,54,66,63,256,56
GBR,7780,John Reynolds,Nigel Vooght,,56,59,75,55,36,55,261,57
GBR,8009,Peter Fordham,,,58,48,47,58,63,50,261,58
GBR,7914,David Lines,Peter Dawson,,43,42,69,62,55,66,268,59
GBR,7680,Tony Welch,Colin Harrison,,77,57,46,71,59,44,277,60
GBR,7845,Philip Inscoe,M. Greernaert,,52,72,73,43,57,59,283,61
