Nation,Boat NO,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
USA,8266,Howard Hamlin,Peter Alarie,,2,1,1,2,2,2,1,-4,11,1
USA,8714,Mike Martin,Steve Bourdow,,4,2,3,1,1,1,2,-9,14,2
USA,7201,Dan Thompson,Andy Zinn,,3,3,-7,3,3,5,4,3,24,3
USA,7771,Andy Beeckman,Ben Benjamin,,1,7,5,7,4,4,-8,1,29,4
USA,8680,Bruce Edwards,Dave Shelton,,OCS 29*,4,2,4,5,6,9,5,35,5
USA,7873,Nick Adamson,Alan Norman,,6,5,4,6,8,9,-12,2,40,6
USA,8627,Tim Collins,Bill Smith,,7,6,9,5,-10,3,7,6,43,7
USA,7875,Jeff Miller,Paul Allen,,5,8,8,8,6,8,6,-15,49,8
USA,8012,Henry Amthor,Mike Smith,,9,10,6,-11,11,10,10,10,66,9
CAN,8681,Robin Brown,John Fry,,10,DNF 27*,DNS 23,9,7,12,3,7,71,10
USA,8084,Colin Campbell,Rob Waterman,,14,11,10,-21,14,13,5,8,75,11
USA,8554,Douglas Hagan,Stuart Park,,8,13,DNF 22*,10,15,7,11,12,76,12
USA,7773,Dalton Bergan,Jeff Nelson,,11,9,18,DNF 29*,13,11,15,DNS 20,97,13
USA,8593,Evert Meyer,Chris Hanke,,15,15,11,16,12,15,13,DNF 19*,97,14
USA,8024,David Chatham,Matt McQueen,,-19,16,12,18,9,17,17,13,102,15
USA,7068,Ted Ferraone,J.B. Ferraone,,DNS 30*,17,13,20,18,14,16,11,109,16
USA,7096,Bryan Largay,Matt Sanders,,12,12,14,15,DNS 21*,DNS 21,DNS 21,DNS 20,115,17
USA,8085,Rene de la Rie,Allan Freedman,,18,DNF 27*,DNS 23,14,17,16,14,14,116,18
USA,6991,Bill Jenkins,Dan Merino,,-22,19,15,17,DNS 21,DNS 21,DNS 21,DNS 20,134,19
USA,7069,Patrick Whitmarsh,David Byron,,17,22,DNS 23*,13,DNS 21,DNS 21,DNS 21,DNS 20,135,20
USA,7359,Gari Ruggles,Greg Gump,,16,14,DNS 23,DNF 29*,DNS 21,DNS 21,DNS 21,DNS 20,136,21
CAN,7095,Bailey White,Patrich Weener,,-24,21,DNF 22,22,19,19,19,16,138,22
CAN,7610,Cynthia Des Brisay,Charles Hansen,,20,20,16,DNF 29*,DNS 21,DNS 21,DNS 21,DNS 20,139,23
USA,8735,Dustin Romey,Karl Knauss,,21,18,17,DNF 29*,DNS 21,DNS 21,DNS 21,DNS 20,139,24
USA,7349,Larry Tuttle,Jay Kuncl,,OCS 29*,DNF 27,DNS 23,12,DNS 21,DNS 21,DNS 21,DNS 20,145,25
USA,7153,Carisa Harris,Alex Mehran,,13,DNS 28,DNS 23,DNS 30*,DNS 21,DNS 21,DNS 21,DNS 20,147,26
USA,7156,Aaron Ross,Greg Sorrells,,-23,23,DNF 22,19,DNS 21,DNS 21,DNS 21,DNS 20,147,27
USA,7886,Dan Strellis,Kristin Guinther,,DNF 29*,DNS 28,DNS 23,DNF 29,16,18,18,DNF 19,151,28
USA,7876,Steven Lieberman,Joshua Lieberman,,OCS 29*,DNS 28,DNS 23,23,DNS 21,DNS 21,DNS 21,DNS 20,157,29
