USA,Sail Number,Skipper,Crew,,R 1,R 2,R 3,R 4,R 5,R 6,"Finish
Place",Points,Place
USA,8083,Neil Fowler,Peter Alarie,,4,6,1,1,1,3,1,10,1
USA,8627,Tim Collins,Bill Smith,,1,2,3,3,10,1,2,10,2
USA,8643,Barney Harris,Jesse Falsone,,5,1,4,2,2,5,3,14,3
CAN,8264,Jeff Boyd,Scott Ikle,,3,4,2,6,3,4,4,16,4
USA,8722,Macy Nelson,Mike Welch,,2,2,5,5,4,6,5,19,5
USA,8085,Rene de la Rie,Allan Freedman,,7,7,7,7,5,2,6,28,6
CAN,8194,Tom Kivney,Fran Charles,,6,5,6,4,7,7,7,28,7
CAN,8233,Francois Bertrand,Alain Molimard,,10,9,9,8,6,8,8,40,8
USA,8735,Dustin Romey,Beau Howard,,9,8,8,11,9,10,9,44,9
USA,7068,Ted Ferrarone,J.B. Ferrarone,,11,10,10,10,8,9,10,47,10
USA,7879,Clayton James,Chris Harvey,,12,11,11,9,11,11,11,54,11
USA,8013,Dave Smith,Rick Thompson,,8,DNF,DNS,DNS,DNS,DNS,12,64,12
USA,8813,Chris Pastore,Jared Kelly,,DNS,DNS,12,12,DNS,DNS,13,68,13
USA,8645,Fred Liesegang,Dave Anderson,,DNF,DNF,DNF,DNS,12,DNF,14,68,14
