Nation,SAIL NUMBER,SKIPPER,CREW,Sail #,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,TOTAL POINTS,DROP,NET POINTS,POS
USA,8714,Hamlin,Martin,8266,1,1,1,1,1,2*,7,2,5,1
USA,8629,Tyler Moore ,Alarie,8629,3*,3,2,2,2,3,15,3,12,2
USA,8722,Nelson,Falsone,8722,8*,2,3,3,6,5,27,8,19,3
USA,8715,Ethan Bixby,Birkholz,8715,4,*,4,4,5,4,26,5,21,4
USA,7201,Daniel Thompson,Nelson,7201,2,4,5,14*,4,9,38,14,24,5
CAN,8264,Boyd,ten Hove,8264,5,9*,9,5,3,6,37,9,28,6
USA,8083,Fowler,Dyson,8083,9,6,7,6,11*,1,40,11,29,7
USA,8012,Amthor,Smith,8012,7,10*,6,10,8,7,48,10,38,8
USA,8627,Tim Collins,Amthor,8627,10,8,12*,7,9,8,54,12,42,9
,8018,Meller,Sparkman,8018,6,12*,8,12,7,10,55,12,43,10
USA,8576,Herlihy,Buttner,8660,13,7,11,8,10,20*,69,20,49,11
CAN,8194,Kivney,Schell,8092,11,11,10,11,17,19*,79,19,60,12
,8698,McLaughlin,Yates,8698,12,14,15*,13,12,12,78,15,63,13
USA,8085,de la Rie,Freedman,8085,36 DNF*,13,16,16,13,14,108,36,72,14
USA,8600,Kaiser,Badtke,8600,17,15,13,21,19*,16,101,21,80,15
USA,7068,Ted Ferraone,J.B. Ferraone,7068,15,16,19*,15,18,17,100,19,81,16
CAN,8410,Bush,Gillies,8410,20,19,36 DNF*,18,14,15,122,36,86,17
CAN,8442,Morrin,Hoffman,8442,36 DNF*,36 DNF,17,9,15,13,126,36,90,18
,7346,Hansen,Gifford,7346,16,17,14,23*,22,21,113,23,90,19
,8233,Bertrand,Molimard,8233,19,36 DNF*,20,19,28,11,133,36,97,20
CAN,7605,Renka Gesing,Adam Gesing,7605,14,36 DNF*,18,17,20,30,135,36,99,21
CAN,7610,Desbrisay,Hansen,7610,18,18,22,20,23*,22,123,23,100,22
CAN,8260,Moss Lovshin,Lovshin,7687,36 DNF*,23,24,24,16,18,141,36,105,23
CAN,7796,Ashby,Adams,7796,22,20,23,25,26,27*,143,27,116,24
USA,7876,Steve Lieberman,Josh Lieberman,7318,21,25,25,28,29,31*,159,31,128,25
,8073,Long,Long,8073,36 DNS*,24,36 DNS,22,24,29,171,36,135,26
USA,7685,Graham Alexander,Wentz,7685,36 DNS*,22,36 DNF,29,25,24,172,36,136,27
USA,7092,Dustin Romey,Mehaffey,7092,36 DNF*,21,21,DSQ,DSQ,23,173,36,137,28
,7857,Hennessy,Angers,7857,24,27,27,31,31,33*,173,33,140,29
,3827,Mark Angliss,Cockburn,3827,23,26,28,33,33,34*,177,34,143,30
USA,8624,Stetson,Stetson,8624,36 DNF*,36 DNS,36 DNS,26,21,25,180,36,144,31
,7798,Hurley,Penney,7798,36 DNF*,36 DNS,29,30,27,26,184,36,148,32
,8261,Heintz,Fowler,8261,36 DNF*,36 DNS,36 DNS,27,30,28,193,36,157,33
,7793,Dave Seiple,Brown,7793,36 DNF*,36 DNF,26,32,32,32,194,36,158,34
,5828,MacGovern,Calhoun,5828,36 DNF*,36 DNS,36 DNF,36 DNF,36 DNS,36 DNS,216,36,180,35
