USA,Sail,Helm,Crew,Club,R1,R2,R3,R4,R5,Total,Fin.
USA,8263,"Alexander ""Ali"" Meller",John Fry,,2,1,2,4,5,13.75,1
USA,8083,Neal Fowler,Dave Dyson,,4,2,1,11,3,20.75,2
USA,8191,Macy Nelson,Peter Alarie,,5,11,3,2,4,25,3
USA,7199,Art Gleason,Carl Smit,,1,4,6,10,8,28.75,4
USA,7092,Kenny Elliot,Allen Kilgore,,7,12,4,6,2,31,5
USA,7346,Jim Englert,Thad Melton,,6,6,5,5,12,34,6
USA,7318,Nick Trotman,David Kirkpatrick,,PMS,3,7,8,1,35.75,7
USA,8060,Michael Breault,Hartman,,3,13,9,7,6,38,8
USA,7879,Jonathan Phillips,Mike Smith,,9,10,14,1,10,43.75,9
USA,8085,Rene de la Rie,John,,11,9,DSQ,3,7,47,10
USA,8194,Thomas Kivney,Ewenson,,PMS,5,8,9,9,48,11
USA,8015,Mignerey,Monty Schumpert,,8,14,10,13,11,56,12
USA,8439,John Dohan,Dave Zetti,,12,7,12,12,13,56,13
USA,8264,Jeff Boyd,Martin ten Hove,,10,8,DNC,DNC,DNC,69,14
USA,8058,Goubault,Hill,,DNC,DNC,13,14,14,74,15
USA,7776,Bob O’Brien,Betsy O’Brien,,DNC,15,11,15,DNC,74,16
