Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
GER,8658,"Christian Schäfer","Uwe Lätzsch",BYC,1,1,1,2,1,"DNC 37",43,,1
GER,8619,"Jens Findel","Johannes Tellen",KYC,4,3,2,1,3,1,14,,2
GER,8609,"Christian Müllejans","Gerd Linnemann",SVWu,6,"OCS 37",4,3,2,4,56,,3
GER,8470,"Norbert Dasenbrook","Sven Meier",KSW,11,2,3,5,8,3,32,,4
GER,8662,"Jan Stölken","Matthias Gotthard",SCU,7,"OCS 37",5,7,4,5,65,,5
GER,8519,"Robert Wisolek","Thoralf Greger",SCLW,2,6,12,4,5,"OCS 37",66,,6
GER,8570,"Till Supan","Gregor Dahlem",ETUF,5,5,6,13,13,9,51,,7
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,"DSQ 37",9,20,8,7,2,83,,8
GER,8414,"Stefan Worm","Mathias Kaiser",RYC,20,11,8,9,"OCS 37",6,91,,9
GER,8675,"Volker Görge","Marlies Endjer",TSVS,10,13,14,15,10,11,73,,10
GER,8424,"Peter Gerdts","Karsten Lahrs",HSC,16,17,10,16,12,7,78,,11
GER,8607,"Bernd Kowalzig","Petra Beier",SCBK,8,12,15,17,"DNC 37",12,101,,12
GER,8664,"Franziska Unkelbach","Caroline von Dahl",KYC,12,8,16,11,19,22,88,,13
GER,8539,"Hendrik Schultz","Ute Oberländer",SCLW,3,4,"OCS 37",10,9,"OCS 37",100,,14
GER,8749,"Stephan Krause","Michael Krause",HiSC,9,7,7,"DNF 37",6,"OCS 37",103,,15
DEN,8561,"Peter Møller","Martin Frederichsen",NSKD,14,15,18,14,"OCS 37",10,108,,16
GER,8549,"Thomas Fleischmann","Thomas Sobott",,18,16,13,19,17,8,91,,17
GER,8388,"Andreas Klein","Marius Knippscheer",SCN,"BFD 37",10,9,18,20,16,110,,18
GER,8472,"Melanie Horstmann","Mirko Oestergaard",HSC,15,14,"OCS 37",12,18,17,113,,19
GER,8224,"Lars Thiel","Annette Thiel",ZSV,23,18,17,24,16,14,112,,20
GER,8421,"Christoph Blecken","Hannes Becker",BSV,29,20,21,23,14,13,120,,21
GER,8465,"Jens Hufnagel","Markus Schöner",ScStM,13,"OCS 37",11,6,21,"OCS 37",125,,22
GER,8404,"Hans-Christian Schwieger","Jörg Siebert",NRV,19,22,24,25,11,20,121,,23
GER,8412,"Antje Paulsen","Björn Schaar",BSV,28,25,25,22,15,19,134,,24
GER,8108,"Thorge Holm","Nils Holm",BCN,27,24,23,28,23,21,146,,25
GER,8601,"Christian Koch","Jan Büscher",TSVS,"BFD 37",23,19,20,"OCS 37",15,151,,26
GER,8297,"Andre Tirre","Frank Wille",YCS,30,27,29,26,22,23,157,,27
GER,8229,"Björn Helmenichs","Thomas Bukowski",,24,19,22,21,"DNC 37","DNC 37",160,,28
GER,8478,"Kai-Uwe Weiss","Norbert Weiss",HSV,21,29,27,29,"OCS 37",24,167,,29
GER,8466,"Klaus Rieck","Susan Hinrichs",BSV,17,21,26,27,"DNC 37","DNC 37",165,,30
GER,8387,"Eckart König","Birgit Hartmann",SGJ,26,30,31,32,25,26,170,,31
GER,7747,"Hendrik Oberheid","Björn Schwiemann",ETuF,31,28,32,31,24,25,171,,32
GER,8375,"Björn von Dahl","Andrea Schawitzke",,"DSQ 37",26,28,30,"DNC 37",18,176,,33
GER,7861,"Annegret Rieck","Merle Roßdeutscher",,"DNC 37",31,30,"DNC 37","DNC 37","DNC 37",209,,34
GER,8392,"Konrad Barop","Georg Mittermayer",RSV,22,"DNF 37","DNC 37","DNC 37","DNC 37","DNC 37",207,,35
GER,8430,"Klaus Heeschen","Marten Christiansen",WSCW,25,"DNF 37","DNC 37","DNC 37","DNC 37","DNC 37",210,,36
