Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GER,8750,Wolfgang Hunger,Holger Jess,PYC,1,1,1,1,1,,1
GER,8675,Volker Görge,Karsten Morf,TSVS,12,5,2,2,4,,2
GER,8665,Jens-Peter Schlomka,Klaus Stammerjohann,TSVS,5,3,8,3,3,,3
GER,8609,Christian Müllejans,Thomas Jung,SVWu,4,4,4,4,5,,4
GER,8619,Jens Findel,Dietrich,KYC,3,7,5,9,2,,5
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,10,6,12,6,7,,6
DEN,8632,Peter-Beck Mikkelsen,Dines Pontoppidan,SYC,9,8,10,5,8,,7
GER,8414,Stefan Worm,Mathias Kaiser,RYC,11,9,9,21,10,,8
GER,8608,Bernd Rasenack,Jörn Richter,ZSK,7,11,3,23,DNC,,9
GER,8437,Uwe Knop,Stefan Kusserow,WSC,13,10,14,8,DNC,,10
GER,8634,Oliver Booth,Gerrit Haaland,HSC,8,27,7,25,11,,11
GER,8531,Jürgen Hatje,Ole Günther,KYC,2,2,6,DNC,DNC,,12
GER,8404,Oliver Holste,Jan Haase,WSCW,15,12,19,12,13,,13
GER,8465,Jens Hufnagel,Markus Schöner,ScStM,17,20,23,16,6,,14
GER,8601,Christian Koch,Jan Büscher,TSVS,20,16,18,11,14,,15
GER,8664,Franziska Unkelbach,Caroline von Dahl,KYC,21,17,16,10,DNC,,16
GER,8424,Peter Gerdts,Karsten Lahrs,HSC,19,13,26,18,15,,17
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,16,22,20,DNC,9,,18
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,24,23,11,13,DNC,,19
GER,7878,Karsten Steinbach,,ASV,28,25,29,7,12,,20
GER,8582,Ole Paulsen,Hannes Becker,BSV,14,14,25,24,DNC,,21
GER,8279,Maike Miechelsen,Kay-Enno Brink,WSU,22,34,28,14,17,,22
GER,8472,Melanie Horstmann,Mirko Oestergaard,HSC,25,26,13,19,DNC,,23
GER,8392,Niklas Reisenauer,,DFSC,34,28,35,17,18,,24
GER,7548,Kristine König,Thilo König,BSV,29,32,17,20,DNC,,25
GER,8466,Klaus Rieck,Sven Friedrich,BSV,27,19,15,DNC,DNC,,26
GER,8513,Hauke Rathjens,Frank Uhlemann,KYC,6,15,DNC,DNC,DNC,,27
GER,8575,Jürgen Waldheim,Bettina Dittemer,PYC,23,18,22,DNC,DNC,,28
GER,8466,Stephan Krause,Michael Krause,HiSC,32,30,31,15,DNC,,29
GER,8412,Antje Paulsen,Björn Schaar,BSV,18,24,24,DNC,DNC,,30
GER,8468,Ulrich Müller-Menzel,Michael Kieselow,WSRM,26,21,21,DNC,DNC,,31
GER,8057,Thomas Brodersen,Chris,YFS,30,29,32,22,DNC,,32
GER,8471,Jörg Morche,Oliver Deutschbein,BSV,31,31,27,DNC,DNC,,33
GER,8478,Kai-Uwe Weiss,Steffen Henning,HSV,36,33,30,DNC,DNC,,34
GER,8507,Armin Eismann,Tino Käcks,SCA,DNC,DNC,DNC,DNC,16,,35
GER,8166,Roland Boettcher,Gabi Boettcher,PSVK,37,35,34,DNC,DNC,,36
GER,8114,Reiner Gold,Hartwig Witte,DKSC,40,37,33,DNC,DNC,,37
GER,8387,Eckart König,Birgit Hartmann,SGJ,38,36,36,DNC,DNC,,38
GER,8375,Björn von Dahl,Andrea Schawitzke,,33,DNC,DNC,DNC,DNC,,39
GER,8047,Grietje Therkorn,Marlies Endjer,CKA,35,DNC,DNC,DNC,DNC,,40
